"riding_code","current_party","current_projection","date"
10001,"LPC","LPC leaning",2021-09-10
10002,"LPC","Toss up LPC/CPC",2021-09-10
10003,"LPC","LPC leaning",2021-09-10
10004,"LPC","Toss up LPC/CPC/NDP",2021-09-10
10005,"LPC","LPC likely",2021-09-10
10006,"NDP","Toss up LPC/NDP",2021-09-10
10007,"LPC","LPC leaning",2021-09-10
11001,"LPC","LPC likely",2021-09-10
11002,"LPC","LPC safe",2021-09-10
11003,"LPC","Toss up LPC/CPC",2021-09-10
11004,"LPC","LPC leaning",2021-09-10
12001,"LPC","Toss up LPC/CPC",2021-09-10
12002,"LPC","Toss up LPC/CPC",2021-09-10
12003,"LPC","CPC leaning",2021-09-10
12004,"LPC","LPC leaning",2021-09-10
12005,"LPC","Toss up LPC/NDP",2021-09-10
12006,"LPC","LPC safe",2021-09-10
12007,"LPC","LPC likely",2021-09-10
12008,"LPC","Toss up LPC/NDP",2021-09-10
12009,"LPC","Toss up LPC/CPC",2021-09-10
12010,"LPC","Toss up LPC/CPC",2021-09-10
12011,"CPC","CPC likely",2021-09-10
13001,"LPC","LPC safe",2021-09-10
13002,"LPC","LPC safe",2021-09-10
13003,"LPC","Toss up LPC/CPC",2021-09-10
13004,"CPC","CPC safe",2021-09-10
13005,"LPC","LPC likely",2021-09-10
13006,"LPC","CPC leaning",2021-09-10
13007,"LPC","LPC likely",2021-09-10
13008,"CPC","CPC safe",2021-09-10
13009,"LPC","Toss up LPC/CPC",2021-09-10
13010,"CPC","CPC safe",2021-09-10
24001,"BQ","Toss up LPC/BQ",2021-09-10
24002,"BQ","BQ leaning",2021-09-10
24003,"LPC","LPC safe",2021-09-10
24004,"LPC","LPC safe",2021-09-10
24005,"LPC","LPC leaning",2021-09-10
24006,"BQ","BQ leaning",2021-09-10
24007,"CPC","CPC leaning",2021-09-10
24008,"BQ","Toss up LPC/CPC/BQ",2021-09-10
24009,"BQ","BQ safe",2021-09-10
24010,"CPC","CPC safe",2021-09-10
24011,"BQ","BQ safe",2021-09-10
24012,"BQ","Toss up NDP/BQ",2021-09-10
24013,"BQ","Toss up LPC/BQ",2021-09-10
24014,"BQ","BQ likely",2021-09-10
24015,"LPC","LPC safe",2021-09-10
24016,"LPC","LPC likely",2021-09-10
24017,"LPC","LPC safe",2021-09-10
24018,"BQ","BQ likely",2021-09-10
24019,"CPC","CPC safe",2021-09-10
24020,"BQ","CPC leaning",2021-09-10
24021,"LPC","LPC leaning",2021-09-10
24022,"CPC","CPC likely",2021-09-10
24023,"LPC","LPC likely",2021-09-10
24024,"LPC","LPC safe",2021-09-10
24025,"BQ","BQ likely",2021-09-10
24026,"LPC","LPC leaning",2021-09-10
24027,"LPC","LPC safe",2021-09-10
24028,"LPC","LPC leaning",2021-09-10
24029,"LPC","LPC safe",2021-09-10
24030,"LPC","LPC safe",2021-09-10
24031,"BQ","BQ safe",2021-09-10
24032,"BQ","Toss up CPC/BQ",2021-09-10
24033,"BQ","BQ likely",2021-09-10
24034,"BQ","Toss up LPC/BQ",2021-09-10
24035,"BQ","BQ leaning",2021-09-10
24036,"LPC","LPC safe",2021-09-10
24037,"LPC","LPC safe",2021-09-10
24038,"BQ","BQ leaning",2021-09-10
24039,"LPC","LPC leaning",2021-09-10
24040,"LPC","LPC safe",2021-09-10
24041,"LPC","LPC leaning",2021-09-10
24042,"CPC","CPC safe",2021-09-10
24043,"BQ","Toss up LPC/BQ",2021-09-10
24044,"LPC","LPC safe",2021-09-10
24045,"CPC","CPC safe",2021-09-10
24046,"BQ","BQ safe",2021-09-10
24047,"CPC","CPC safe",2021-09-10
24048,"BQ","BQ safe",2021-09-10
24049,"BQ","Toss up LPC/BQ",2021-09-10
24050,"BQ","BQ safe",2021-09-10
24051,"CPC","CPC safe",2021-09-10
24052,"LPC","LPC safe",2021-09-10
24053,"LPC","LPC safe",2021-09-10
24054,"LPC","LPC safe",2021-09-10
24055,"LPC","LPC safe",2021-09-10
24056,"LPC","LPC safe",2021-09-10
24057,"LPC","LPC safe",2021-09-10
24058,"CPC","CPC safe",2021-09-10
24059,"LPC","LPC leaning",2021-09-10
24060,"BQ","BQ likely",2021-09-10
24061,"CPC","CPC safe",2021-09-10
24062,"BQ","Toss up LPC/BQ",2021-09-10
24063,"BQ","BQ safe",2021-09-10
24064,"NDP","NDP safe",2021-09-10
24065,"LPC","LPC safe",2021-09-10
24066,"BQ","BQ leaning",2021-09-10
24067,"BQ","BQ leaning",2021-09-10
24068,"LPC","LPC safe",2021-09-10
24069,"LPC","LPC safe",2021-09-10
24070,"LPC","LPC likely",2021-09-10
24071,"BQ","BQ likely",2021-09-10
24072,"BQ","Toss up LPC/BQ",2021-09-10
24073,"LPC","LPC leaning",2021-09-10
24074,"LPC","LPC safe",2021-09-10
24075,"BQ","BQ likely",2021-09-10
24076,"BQ","Toss up CPC/BQ",2021-09-10
24077,"LPC","LPC safe",2021-09-10
24078,"LPC","LPC safe",2021-09-10
35001,"LPC","LPC safe",2021-09-10
35002,"NDP","NDP safe",2021-09-10
35003,"CPC","CPC leaning",2021-09-10
35004,"CPC","CPC safe",2021-09-10
35005,"CPC","CPC likely",2021-09-10
35006,"LPC","CPC leaning",2021-09-10
