"riding_code","current_party","current_projection","date"
10001,"LPC","LPC safe",2021-08-26
10002,"LPC","LPC likely",2021-08-26
10003,"LPC","LPC likely",2021-08-26
10004,"LPC","LPC leaning",2021-08-26
10005,"LPC","LPC safe",2021-08-26
10006,"NDP","NDP likely",2021-08-26
10007,"LPC","LPC likely",2021-08-26
11001,"LPC","LPC safe",2021-08-26
11002,"LPC","LPC safe",2021-08-26
11003,"LPC","LPC leaning",2021-08-26
11004,"LPC","LPC likely",2021-08-26
12001,"LPC","Toss up LPC/CPC",2021-08-26
12002,"LPC","LPC leaning",2021-08-26
12003,"LPC","Toss up LPC/CPC",2021-08-26
12004,"LPC","LPC likely",2021-08-26
12005,"LPC","Toss up LPC/NDP",2021-08-26
12006,"LPC","LPC safe",2021-08-26
12007,"LPC","LPC safe",2021-08-26
12008,"LPC","LPC likely",2021-08-26
12009,"LPC","LPC likely",2021-08-26
12010,"LPC","Toss up LPC/CPC",2021-08-26
12011,"CPC","Toss up LPC/CPC",2021-08-26
13001,"LPC","LPC safe",2021-08-26
13002,"LPC","LPC safe",2021-08-26
13003,"LPC","Toss up LPC/CPC",2021-08-26
13004,"CPC","CPC safe",2021-08-26
13005,"LPC","LPC safe",2021-08-26
13006,"LPC","Toss up LPC/CPC",2021-08-26
13007,"LPC","LPC safe",2021-08-26
13008,"CPC","CPC safe",2021-08-26
13009,"LPC","LPC leaning",2021-08-26
13010,"CPC","CPC safe",2021-08-26
24001,"BQ","Toss up LPC/BQ",2021-08-26
24002,"BQ","BQ leaning",2021-08-26
24003,"LPC","LPC safe",2021-08-26
24004,"LPC","LPC safe",2021-08-26
24005,"LPC","LPC likely",2021-08-26
24006,"BQ","BQ leaning",2021-08-26
24007,"CPC","Toss up CPC/PPC",2021-08-26
24008,"BQ","Toss up LPC/CPC/BQ",2021-08-26
24009,"BQ","BQ safe",2021-08-26
24010,"CPC","CPC safe",2021-08-26
24011,"BQ","BQ safe",2021-08-26
24012,"BQ","BQ safe",2021-08-26
24013,"BQ","Toss up LPC/BQ",2021-08-26
24014,"BQ","BQ likely",2021-08-26
24015,"LPC","LPC safe",2021-08-26
24016,"LPC","LPC likely",2021-08-26
24017,"LPC","LPC safe",2021-08-26
24018,"BQ","BQ leaning",2021-08-26
24019,"CPC","CPC safe",2021-08-26
24020,"BQ","Toss up CPC/BQ",2021-08-26
24021,"LPC","LPC leaning",2021-08-26
24022,"CPC","CPC leaning",2021-08-26
24023,"LPC","LPC likely",2021-08-26
24024,"LPC","LPC safe",2021-08-26
24025,"BQ","BQ safe",2021-08-26
24026,"LPC","LPC likely",2021-08-26
24027,"LPC","LPC safe",2021-08-26
24028,"LPC","LPC leaning",2021-08-26
24029,"LPC","LPC safe",2021-08-26
24030,"LPC","LPC safe",2021-08-26
24031,"BQ","BQ safe",2021-08-26
24032,"BQ","BQ likely",2021-08-26
24033,"BQ","BQ leaning",2021-08-26
24034,"BQ","Toss up LPC/BQ",2021-08-26
24035,"BQ","BQ likely",2021-08-26
24036,"LPC","LPC safe",2021-08-26
24037,"LPC","LPC safe",2021-08-26
24038,"BQ","BQ leaning",2021-08-26
24039,"LPC","LPC likely",2021-08-26
24040,"LPC","LPC safe",2021-08-26
24041,"LPC","LPC likely",2021-08-26
24042,"CPC","CPC safe",2021-08-26
24043,"BQ","Toss up LPC/BQ",2021-08-26
24044,"LPC","LPC safe",2021-08-26
24045,"CPC","CPC safe",2021-08-26
24046,"BQ","BQ safe",2021-08-26
24047,"CPC","CPC safe",2021-08-26
24048,"BQ","BQ likely",2021-08-26
24049,"BQ","Toss up LPC/BQ",2021-08-26
24050,"BQ","BQ safe",2021-08-26
24051,"CPC","CPC safe",2021-08-26
24052,"LPC","LPC safe",2021-08-26
24053,"LPC","LPC safe",2021-08-26
24054,"LPC","LPC safe",2021-08-26
24055,"LPC","LPC safe",2021-08-26
24056,"LPC","LPC safe",2021-08-26
24057,"LPC","LPC safe",2021-08-26
24058,"CPC","CPC safe",2021-08-26
24059,"LPC","LPC likely",2021-08-26
24060,"BQ","BQ likely",2021-08-26
24061,"CPC","CPC safe",2021-08-26
24062,"BQ","Toss up LPC/BQ",2021-08-26
24063,"BQ","BQ safe",2021-08-26
24064,"NDP","NDP likely",2021-08-26
24065,"LPC","LPC safe",2021-08-26
24066,"BQ","BQ likely",2021-08-26
24067,"BQ","BQ leaning",2021-08-26
24068,"LPC","LPC safe",2021-08-26
24069,"LPC","LPC safe",2021-08-26
24070,"LPC","LPC likely",2021-08-26
24071,"BQ","BQ leaning",2021-08-26
24072,"BQ","LPC leaning",2021-08-26
24073,"LPC","LPC likely",2021-08-26
24074,"LPC","LPC safe",2021-08-26
24075,"BQ","BQ likely",2021-08-26
24076,"BQ","Toss up LPC/CPC/BQ",2021-08-26
24077,"LPC","LPC safe",2021-08-26
24078,"LPC","LPC safe",2021-08-26
35001,"LPC","LPC safe",2021-08-26
35002,"NDP","NDP safe",2021-08-26
35003,"CPC","CPC leaning",2021-08-26
