"riding_code","current_party","current_projection","date"
10001,"LPC","LPC safe",2021-08-24
10002,"LPC","LPC likely",2021-08-24
10003,"LPC","LPC likely",2021-08-24
10004,"LPC","LPC leaning",2021-08-24
10005,"LPC","LPC safe",2021-08-24
10006,"NDP","NDP likely",2021-08-24
10007,"LPC","LPC likely",2021-08-24
11001,"LPC","LPC safe",2021-08-24
11002,"LPC","LPC safe",2021-08-24
11003,"LPC","LPC leaning",2021-08-24
11004,"LPC","LPC likely",2021-08-24
12001,"LPC","Toss up LPC/CPC",2021-08-24
12002,"LPC","LPC leaning",2021-08-24
12003,"LPC","Toss up LPC/CPC",2021-08-24
12004,"LPC","LPC leaning",2021-08-24
12005,"LPC","Toss up LPC/NDP",2021-08-24
12006,"LPC","LPC safe",2021-08-24
12007,"LPC","LPC safe",2021-08-24
12008,"LPC","LPC leaning",2021-08-24
12009,"LPC","LPC likely",2021-08-24
12010,"LPC","Toss up LPC/CPC",2021-08-24
12011,"CPC","Toss up LPC/CPC",2021-08-24
13001,"LPC","LPC safe",2021-08-24
13002,"LPC","LPC safe",2021-08-24
13003,"LPC","Toss up LPC/CPC",2021-08-24
13004,"CPC","CPC safe",2021-08-24
13005,"LPC","LPC safe",2021-08-24
13006,"LPC","Toss up LPC/CPC",2021-08-24
13007,"LPC","LPC safe",2021-08-24
13008,"CPC","CPC safe",2021-08-24
13009,"LPC","LPC leaning",2021-08-24
13010,"CPC","CPC safe",2021-08-24
24001,"BQ","Toss up LPC/BQ",2021-08-24
24002,"BQ","BQ leaning",2021-08-24
24003,"LPC","LPC safe",2021-08-24
24004,"LPC","LPC safe",2021-08-24
24005,"LPC","LPC leaning",2021-08-24
24006,"BQ","BQ leaning",2021-08-24
24007,"CPC","Toss up CPC/PPC",2021-08-24
24008,"BQ","Toss up LPC/CPC/BQ",2021-08-24
24009,"BQ","BQ safe",2021-08-24
24010,"CPC","CPC safe",2021-08-24
24011,"BQ","BQ safe",2021-08-24
24012,"BQ","BQ safe",2021-08-24
24013,"BQ","Toss up LPC/BQ",2021-08-24
24014,"BQ","BQ likely",2021-08-24
24015,"LPC","LPC safe",2021-08-24
24016,"LPC","LPC likely",2021-08-24
24017,"LPC","LPC safe",2021-08-24
24018,"BQ","BQ likely",2021-08-24
24019,"CPC","CPC safe",2021-08-24
24020,"BQ","Toss up CPC/BQ",2021-08-24
24021,"LPC","LPC leaning",2021-08-24
24022,"CPC","CPC likely",2021-08-24
24023,"LPC","LPC likely",2021-08-24
24024,"LPC","LPC safe",2021-08-24
24025,"BQ","BQ safe",2021-08-24
24026,"LPC","LPC leaning",2021-08-24
24027,"LPC","LPC safe",2021-08-24
24028,"LPC","LPC leaning",2021-08-24
24029,"LPC","LPC safe",2021-08-24
24030,"LPC","LPC safe",2021-08-24
24031,"BQ","BQ safe",2021-08-24
24032,"BQ","BQ likely",2021-08-24
24033,"BQ","BQ leaning",2021-08-24
24034,"BQ","Toss up LPC/BQ",2021-08-24
24035,"BQ","BQ likely",2021-08-24
24036,"LPC","LPC safe",2021-08-24
24037,"LPC","LPC safe",2021-08-24
24038,"BQ","BQ leaning",2021-08-24
24039,"LPC","LPC likely",2021-08-24
24040,"LPC","LPC safe",2021-08-24
24041,"LPC","LPC likely",2021-08-24
24042,"CPC","CPC safe",2021-08-24
24043,"BQ","Toss up LPC/BQ",2021-08-24
24044,"LPC","LPC safe",2021-08-24
24045,"CPC","CPC safe",2021-08-24
24046,"BQ","BQ safe",2021-08-24
24047,"CPC","CPC safe",2021-08-24
24048,"BQ","BQ safe",2021-08-24
24049,"BQ","Toss up LPC/BQ",2021-08-24
24050,"BQ","BQ safe",2021-08-24
24051,"CPC","CPC likely",2021-08-24
24052,"LPC","LPC safe",2021-08-24
24053,"LPC","LPC safe",2021-08-24
24054,"LPC","LPC safe",2021-08-24
24055,"LPC","LPC safe",2021-08-24
24056,"LPC","LPC safe",2021-08-24
24057,"LPC","LPC safe",2021-08-24
24058,"CPC","CPC safe",2021-08-24
24059,"LPC","LPC leaning",2021-08-24
24060,"BQ","BQ likely",2021-08-24
24061,"CPC","CPC safe",2021-08-24
24062,"BQ","Toss up LPC/BQ",2021-08-24
24063,"BQ","BQ safe",2021-08-24
24064,"NDP","NDP likely",2021-08-24
24065,"LPC","LPC safe",2021-08-24
24066,"BQ","BQ likely",2021-08-24
24067,"BQ","BQ leaning",2021-08-24
24068,"LPC","LPC safe",2021-08-24
24069,"LPC","LPC safe",2021-08-24
24070,"LPC","LPC likely",2021-08-24
24071,"BQ","BQ likely",2021-08-24
24072,"BQ","Toss up LPC/BQ",2021-08-24
24073,"LPC","LPC leaning",2021-08-24
24074,"LPC","LPC safe",2021-08-24
24075,"BQ","BQ likely",2021-08-24
24076,"BQ","Toss up LPC/CPC/BQ",2021-08-24
24077,"LPC","LPC safe",2021-08-24
24078,"LPC","LPC safe",2021-08-24
35001,"LPC","LPC safe",2021-08-24
35002,"NDP","NDP safe",2021-08-24
35003,"CPC","CPC leaning",2021-08-24
35004,"CPC","CPC safe",2021-08-24
35005,"CPC","CPC likely",2021-08-24
35006,"LPC","Toss up LPC/CPC",2021-08-24
35007,"LPC","LPC safe",2021-08-24
35008,"IND","LPC likely",2021-08-24
35009,"LPC","LPC leaning",2021-08-24
35010,"LPC","LPC safe",2021-08-24
35011,"LPC","LPC likely",2021-08-24
35012,"LPC","LPC safe",2021-08-24
35013,"CPC","CPC likely",2021-08-24
35014,"CPC","CPC safe",2021-08-24
35015,"LPC","LPC likely",2021-08-24
35016,"LPC","LPC leaning",2021-08-24
35017,"CPC","CPC safe",2021-08-24
35018,"LPC","NDP leaning",2021-08-24
35019,"IND","LPC safe",2021-08-24
35020,"LPC","LPC leaning",2021-08-24
35021,"LPC","LPC safe",2021-08-24
35022,"CPC","CPC likely",2021-08-24
35023,"CPC","CPC safe",2021-08-24
35024,"LPC","LPC likely",2021-08-24
35025,"CPC","CPC safe",2021-08-24
35026,"CPC","Toss up CPC/NDP",2021-08-24
35027,"LPC","LPC likely",2021-08-24
35028,"LPC","LPC safe",2021-08-24
35029,"LPC","LPC safe",2021-08-24
35030,"CPC","CPC likely",2021-08-24
35031,"LPC","LPC leaning",2021-08-24
35032,"LPC","LPC safe",2021-08-24
35033,"Vacant","CPC safe",2021-08-24
35034,"CPC","CPC safe",2021-08-24
35035,"NDP","NDP safe",2021-08-24
35036,"LPC","NDP leaning",2021-08-24
35037,"NDP","NDP safe",2021-08-24
35038,"LPC","LPC likely",2021-08-24
35039,"IND","CPC leaning",2021-08-24
35040,"CPC","CPC safe",2021-08-24
35041,"LPC","Toss up LPC/CPC",2021-08-24
35042,"CPC","Toss up CPC/NDP",2021-08-24
35043,"LPC","CPC leaning",2021-08-24
35044,"LPC","LPC leaning",2021-08-24
35045,"LPC","LPC likely",2021-08-24
35046,"LPC","CPC leaning",2021-08-24
35047,"IND","Toss up LPC/CPC",2021-08-24
35048,"CPC","CPC safe",2021-08-24
35049,"CPC","CPC safe",2021-08-24
35050,"CPC","CPC safe",2021-08-24
35051,"NDP","NDP safe",2021-08-24
35052,"LPC","LPC leaning",2021-08-24
35053,"LPC","LPC leaning",2021-08-24
35054,"LPC","CPC leaning",2021-08-24
35055,"LPC","LPC likely",2021-08-24
35056,"CPC","CPC likely",2021-08-24
35057,"LPC","LPC leaning",2021-08-24
35058,"LPC","LPC safe",2021-08-24
35059,"LPC","LPC likely",2021-08-24
35060,"LPC","LPC likely",2021-08-24
35061,"LPC","LPC leaning",2021-08-24
35062,"LPC","LPC safe",2021-08-24
35063,"LPC","LPC likely",2021-08-24
35064,"LPC","LPC leaning",2021-08-24
35065,"LPC","Toss up LPC/CPC",2021-08-24
35066,"LPC","NDP leaning",2021-08-24
35067,"CPC","CPC likely",2021-08-24
35068,"CPC","CPC safe",2021-08-24
35069,"LPC","NDP leaning",2021-08-24
35070,"LPC","LPC leaning",2021-08-24
35071,"CPC","CPC likely",2021-08-24
35072,"LPC","Toss up LPC/CPC",2021-08-24
35073,"LPC","LPC leaning",2021-08-24
35074,"CPC","Toss up CPC/NDP",2021-08-24
35075,"LPC","Toss up LPC/NDP",2021-08-24
35076,"LPC","LPC safe",2021-08-24
35077,"LPC","LPC safe",2021-08-24
35078,"LPC","LPC likely",2021-08-24
35079,"LPC","LPC likely",2021-08-24
35080,"CPC","CPC safe",2021-08-24
35081,"LPC","Toss up LPC/NDP",2021-08-24
35082,"CPC","CPC safe",2021-08-24
35083,"CPC","CPC safe",2021-08-24
35084,"LPC","Toss up LPC/CPC",2021-08-24
35085,"LPC","LPC likely",2021-08-24
35086,"CPC","CPC safe",2021-08-24
35087,"LPC","CPC leaning",2021-08-24
35088,"CPC","CPC likely",2021-08-24
35089,"LPC","Toss up LPC/CPC",2021-08-24
35090,"LPC","LPC safe",2021-08-24
35091,"CPC","CPC safe",2021-08-24
35092,"LPC","Toss up LPC/CPC/NDP",2021-08-24
35093,"LPC","LPC leaning",2021-08-24
35094,"LPC","LPC safe",2021-08-24
35095,"LPC","LPC safe",2021-08-24
35096,"LPC","LPC safe",2021-08-24
35097,"LPC","LPC safe",2021-08-24
35098,"LPC","LPC safe",2021-08-24
35099,"CPC","CPC safe",2021-08-24
35100,"CPC","CPC safe",2021-08-24
35101,"LPC","LPC safe",2021-08-24
35102,"CPC","CPC safe",2021-08-24
35103,"LPC","NDP leaning",2021-08-24
35104,"CPC","CPC safe",2021-08-24
35105,"LPC","NDP leaning",2021-08-24
35106,"LPC","LPC leaning",2021-08-24
35107,"NDP","NDP safe",2021-08-24
35108,"LPC","LPC safe",2021-08-24
35109,"LPC","Toss up LPC/NDP",2021-08-24
35110,"LPC","LPC likely",2021-08-24
35111,"LPC","LPC leaning",2021-08-24
35112,"LPC","LPC safe",2021-08-24
35113,"CPC","CPC safe",2021-08-24
35114,"LPC","Toss up LPC/CPC",2021-08-24
35115,"LPC","LPC leaning",2021-08-24
35116,"LPC","NDP leaning",2021-08-24
35117,"NDP","NDP likely",2021-08-24
35118,"LPC","Toss up LPC/CPC",2021-08-24
35119,"CPC","CPC safe",2021-08-24
35120,"LPC","LPC safe",2021-08-24
35121,"LPC","LPC safe",2021-08-24
46001,"CPC","CPC safe",2021-08-24
46002,"CPC","Toss up LPC/CPC",2021-08-24
46003,"NDP","NDP likely",2021-08-24
46004,"CPC","CPC safe",2021-08-24
46005,"NDP","NDP safe",2021-08-24
46006,"CPC","Toss up LPC/CPC",2021-08-24
46007,"CPC","CPC safe",2021-08-24
46008,"CPC","CPC safe",2021-08-24
46009,"LPC","LPC safe",2021-08-24
46010,"CPC","CPC safe",2021-08-24
46011,"NDP","NDP leaning",2021-08-24
46012,"LPC","LPC safe",2021-08-24
46013,"LPC","LPC safe",2021-08-24
46014,"LPC","LPC safe",2021-08-24
47001,"CPC","CPC safe",2021-08-24
47002,"CPC","CPC safe",2021-08-24
47003,"CPC","Toss up LPC/CPC/NDP",2021-08-24
