"riding_code","current_party","current_projection","date"
10001,"LPC","LPC likely",2021-09-08
10002,"LPC","Toss up LPC/CPC",2021-09-08
10003,"LPC","LPC leaning",2021-09-08
10004,"LPC","Toss up LPC/CPC/NDP",2021-09-08
10005,"LPC","LPC likely",2021-09-08
10006,"NDP","Toss up LPC/NDP",2021-09-08
10007,"LPC","LPC leaning",2021-09-08
11001,"LPC","LPC likely",2021-09-08
11002,"LPC","LPC safe",2021-09-08
11003,"LPC","Toss up LPC/CPC",2021-09-08
11004,"LPC","LPC leaning",2021-09-08
12001,"LPC","Toss up LPC/CPC",2021-09-08
12002,"LPC","Toss up LPC/CPC",2021-09-08
12003,"LPC","CPC leaning",2021-09-08
12004,"LPC","LPC leaning",2021-09-08
12005,"LPC","Toss up LPC/NDP",2021-09-08
12006,"LPC","LPC safe",2021-09-08
12007,"LPC","LPC likely",2021-09-08
12008,"LPC","Toss up LPC/NDP",2021-09-08
12009,"LPC","Toss up LPC/CPC",2021-09-08
12010,"LPC","Toss up LPC/CPC",2021-09-08
12011,"CPC","CPC likely",2021-09-08
13001,"LPC","LPC safe",2021-09-08
13002,"LPC","LPC safe",2021-09-08
13003,"LPC","Toss up LPC/CPC",2021-09-08
13004,"CPC","CPC safe",2021-09-08
13005,"LPC","LPC likely",2021-09-08
13006,"LPC","CPC leaning",2021-09-08
13007,"LPC","LPC likely",2021-09-08
13008,"CPC","CPC safe",2021-09-08
13009,"LPC","Toss up LPC/CPC",2021-09-08
13010,"CPC","CPC safe",2021-09-08
24001,"BQ","Toss up LPC/BQ",2021-09-08
24002,"BQ","BQ leaning",2021-09-08
24003,"LPC","LPC safe",2021-09-08
24004,"LPC","LPC safe",2021-09-08
24005,"LPC","LPC leaning",2021-09-08
24006,"BQ","BQ leaning",2021-09-08
24007,"CPC","Toss up CPC/PPC",2021-09-08
24008,"BQ","Toss up LPC/CPC/BQ",2021-09-08
24009,"BQ","BQ safe",2021-09-08
24010,"CPC","CPC safe",2021-09-08
24011,"BQ","BQ safe",2021-09-08
24012,"BQ","BQ leaning",2021-09-08
24013,"BQ","Toss up LPC/BQ",2021-09-08
24014,"BQ","BQ likely",2021-09-08
24015,"LPC","LPC safe",2021-09-08
24016,"LPC","LPC likely",2021-09-08
24017,"LPC","LPC safe",2021-09-08
24018,"BQ","BQ likely",2021-09-08
24019,"CPC","CPC safe",2021-09-08
24020,"BQ","CPC leaning",2021-09-08
24021,"LPC","LPC leaning",2021-09-08
24022,"CPC","CPC likely",2021-09-08
24023,"LPC","LPC likely",2021-09-08
24024,"LPC","LPC safe",2021-09-08
24025,"BQ","BQ likely",2021-09-08
24026,"LPC","LPC leaning",2021-09-08
24027,"LPC","LPC safe",2021-09-08
24028,"LPC","LPC leaning",2021-09-08
24029,"LPC","LPC safe",2021-09-08
24030,"LPC","LPC safe",2021-09-08
24031,"BQ","BQ safe",2021-09-08
24032,"BQ","Toss up CPC/BQ",2021-09-08
24033,"BQ","BQ likely",2021-09-08
24034,"BQ","Toss up LPC/BQ",2021-09-08
24035,"BQ","BQ leaning",2021-09-08
24036,"LPC","LPC safe",2021-09-08
24037,"LPC","LPC safe",2021-09-08
24038,"BQ","BQ leaning",2021-09-08
24039,"LPC","LPC leaning",2021-09-08
24040,"LPC","LPC safe",2021-09-08
24041,"LPC","LPC leaning",2021-09-08
24042,"CPC","CPC safe",2021-09-08
24043,"BQ","Toss up LPC/BQ",2021-09-08
24044,"LPC","LPC safe",2021-09-08
24045,"CPC","CPC safe",2021-09-08
24046,"BQ","BQ safe",2021-09-08
24047,"CPC","CPC safe",2021-09-08
24048,"BQ","BQ safe",2021-09-08
24049,"BQ","Toss up LPC/BQ",2021-09-08
24050,"BQ","BQ safe",2021-09-08
24051,"CPC","CPC safe",2021-09-08
24052,"LPC","LPC safe",2021-09-08
24053,"LPC","LPC safe",2021-09-08
24054,"LPC","LPC safe",2021-09-08
24055,"LPC","LPC safe",2021-09-08
24056,"LPC","LPC safe",2021-09-08
24057,"LPC","LPC safe",2021-09-08
24058,"CPC","CPC safe",2021-09-08
24059,"LPC","LPC leaning",2021-09-08
24060,"BQ","BQ likely",2021-09-08
24061,"CPC","CPC safe",2021-09-08
24062,"BQ","BQ leaning",2021-09-08
24063,"BQ","BQ safe",2021-09-08
24064,"NDP","NDP safe",2021-09-08
24065,"LPC","LPC likely",2021-09-08
24066,"BQ","BQ leaning",2021-09-08
24067,"BQ","BQ leaning",2021-09-08
24068,"LPC","LPC safe",2021-09-08
24069,"LPC","LPC safe",2021-09-08
24070,"LPC","LPC likely",2021-09-08
24071,"BQ","BQ likely",2021-09-08
24072,"BQ","Toss up LPC/BQ",2021-09-08
24073,"LPC","LPC leaning",2021-09-08
24074,"LPC","LPC safe",2021-09-08
24075,"BQ","BQ likely",2021-09-08
24076,"BQ","CPC leaning",2021-09-08
24077,"LPC","LPC safe",2021-09-08
24078,"LPC","LPC safe",2021-09-08
35001,"LPC","LPC safe",2021-09-08
35002,"NDP","NDP safe",2021-09-08
35003,"CPC","CPC leaning",2021-09-08
35004,"CPC","CPC safe",2021-09-08
35005,"CPC","CPC likely",2021-09-08
35006,"LPC","CPC leaning",2021-09-08
35007,"LPC","LPC safe",2021-09-08
35008,"IND","LPC likely",2021-09-08
35009,"LPC","LPC likely",2021-09-08
35010,"LPC","LPC safe",2021-09-08
35011,"LPC","LPC likely",2021-09-08
35012,"LPC","LPC safe",2021-09-08
35013,"CPC","CPC safe",2021-09-08
35014,"CPC","CPC safe",2021-09-08
35015,"LPC","LPC leaning",2021-09-08
35016,"LPC","LPC leaning",2021-09-08
35017,"CPC","CPC safe",2021-09-08
35018,"LPC","Toss up LPC/NDP",2021-09-08
35019,"IND","LPC safe",2021-09-08
35020,"LPC","LPC leaning",2021-09-08
35021,"LPC","LPC likely",2021-09-08
35022,"CPC","CPC safe",2021-09-08
35023,"CPC","CPC safe",2021-09-08
35024,"LPC","LPC likely",2021-09-08
35025,"CPC","CPC safe",2021-09-08
35026,"CPC","CPC leaning",2021-09-08
35027,"LPC","LPC likely",2021-09-08
35028,"LPC","LPC likely",2021-09-08
35029,"LPC","LPC safe",2021-09-08
35030,"CPC","CPC likely",2021-09-08
35031,"LPC","Toss up LPC/CPC",2021-09-08
35032,"LPC","LPC safe",2021-09-08
35033,"Vacant","CPC safe",2021-09-08
35034,"CPC","CPC safe",2021-09-08
35035,"NDP","NDP safe",2021-09-08
35036,"LPC","Toss up LPC/CPC/NDP",2021-09-08
35037,"NDP","NDP likely",2021-09-08
35038,"LPC","LPC likely",2021-09-08
35039,"IND","CPC leaning",2021-09-08
35040,"CPC","CPC safe",2021-09-08
35041,"LPC","Toss up LPC/CPC",2021-09-08
35042,"CPC","CPC leaning",2021-09-08
35043,"LPC","CPC leaning",2021-09-08
35044,"LPC","LPC likely",2021-09-08
35045,"LPC","Toss up CPC/NDP/GPC",2021-09-08
35046,"LPC","CPC leaning",2021-09-08
35047,"IND","Toss up LPC/CPC",2021-09-08
35048,"CPC","CPC safe",2021-09-08
35049,"CPC","CPC safe",2021-09-08
35050,"CPC","CPC safe",2021-09-08
35051,"NDP","NDP safe",2021-09-08
35052,"LPC","LPC likely",2021-09-08
35053,"LPC","LPC likely",2021-09-08
35054,"LPC","Toss up LPC/CPC",2021-09-08
35055,"LPC","LPC likely",2021-09-08
35056,"CPC","CPC likely",2021-09-08
