"riding_code","current_party","current_projection","date"
10001,"LPC","LPC likely",2021-09-04
10002,"LPC","Toss up LPC/CPC",2021-09-04
10003,"LPC","LPC leaning",2021-09-04
10004,"LPC","Toss up LPC/CPC/NDP",2021-09-04
10005,"LPC","LPC likely",2021-09-04
10006,"NDP","NDP safe",2021-09-04
10007,"LPC","LPC leaning",2021-09-04
11001,"LPC","LPC likely",2021-09-04
11002,"LPC","LPC safe",2021-09-04
11003,"LPC","Toss up LPC/CPC",2021-09-04
11004,"LPC","LPC leaning",2021-09-04
12001,"LPC","CPC leaning",2021-09-04
12002,"LPC","Toss up LPC/CPC",2021-09-04
12003,"LPC","CPC likely",2021-09-04
12004,"LPC","Toss up LPC/NDP",2021-09-04
12005,"LPC","Toss up LPC/NDP",2021-09-04
12006,"LPC","LPC safe",2021-09-04
12007,"LPC","LPC likely",2021-09-04
12008,"LPC","Toss up LPC/NDP",2021-09-04
12009,"LPC","Toss up LPC/CPC",2021-09-04
12010,"LPC","CPC leaning",2021-09-04
12011,"CPC","CPC likely",2021-09-04
13001,"LPC","LPC safe",2021-09-04
13002,"LPC","LPC safe",2021-09-04
13003,"LPC","Toss up LPC/CPC",2021-09-04
13004,"CPC","CPC safe",2021-09-04
13005,"LPC","LPC likely",2021-09-04
13006,"LPC","CPC likely",2021-09-04
13007,"LPC","LPC likely",2021-09-04
13008,"CPC","CPC safe",2021-09-04
13009,"LPC","Toss up LPC/CPC",2021-09-04
13010,"CPC","CPC safe",2021-09-04
24001,"BQ","Toss up LPC/BQ",2021-09-04
24002,"BQ","BQ leaning",2021-09-04
24003,"LPC","LPC safe",2021-09-04
24004,"LPC","LPC safe",2021-09-04
24005,"LPC","LPC leaning",2021-09-04
24006,"BQ","BQ leaning",2021-09-04
24007,"CPC","CPC leaning",2021-09-04
24008,"BQ","CPC leaning",2021-09-04
24009,"BQ","BQ safe",2021-09-04
24010,"CPC","CPC safe",2021-09-04
24011,"BQ","BQ safe",2021-09-04
24012,"BQ","BQ leaning",2021-09-04
24013,"BQ","Toss up LPC/BQ",2021-09-04
24014,"BQ","BQ likely",2021-09-04
24015,"LPC","LPC safe",2021-09-04
24016,"LPC","LPC likely",2021-09-04
24017,"LPC","LPC safe",2021-09-04
24018,"BQ","BQ likely",2021-09-04
24019,"CPC","CPC safe",2021-09-04
24020,"BQ","CPC likely",2021-09-04
24021,"LPC","LPC leaning",2021-09-04
24022,"CPC","CPC likely",2021-09-04
24023,"LPC","LPC likely",2021-09-04
24024,"LPC","LPC safe",2021-09-04
24025,"BQ","BQ likely",2021-09-04
24026,"LPC","LPC leaning",2021-09-04
24027,"LPC","LPC safe",2021-09-04
24028,"LPC","LPC leaning",2021-09-04
24029,"LPC","LPC safe",2021-09-04
24030,"LPC","LPC safe",2021-09-04
24031,"BQ","BQ safe",2021-09-04
24032,"BQ","Toss up CPC/BQ",2021-09-04
24033,"BQ","BQ leaning",2021-09-04
24034,"BQ","Toss up LPC/BQ",2021-09-04
24035,"BQ","BQ leaning",2021-09-04
24036,"LPC","LPC safe",2021-09-04
24037,"LPC","LPC safe",2021-09-04
24038,"BQ","BQ leaning",2021-09-04
24039,"LPC","LPC leaning",2021-09-04
24040,"LPC","LPC safe",2021-09-04
24041,"LPC","LPC likely",2021-09-04
