"riding_code","current_party","current_projection","date"
10001,"LPC","LPC likely",2021-09-02
10002,"LPC","LPC leaning",2021-09-02
10003,"LPC","LPC likely",2021-09-02
10004,"LPC","Toss up LPC/CPC/NDP",2021-09-02
10005,"LPC","LPC likely",2021-09-02
10006,"NDP","NDP safe",2021-09-02
10007,"LPC","LPC likely",2021-09-02
11001,"LPC","LPC likely",2021-09-02
11002,"LPC","LPC safe",2021-09-02
11003,"LPC","Toss up LPC/CPC",2021-09-02
11004,"LPC","LPC leaning",2021-09-02
12001,"LPC","CPC leaning",2021-09-02
12002,"LPC","Toss up LPC/CPC",2021-09-02
12003,"LPC","CPC leaning",2021-09-02
12004,"LPC","LPC leaning",2021-09-02
12005,"LPC","Toss up LPC/NDP",2021-09-02
12006,"LPC","LPC safe",2021-09-02
12007,"LPC","LPC likely",2021-09-02
12008,"LPC","LPC leaning",2021-09-02
12009,"LPC","LPC leaning",2021-09-02
12010,"LPC","CPC leaning",2021-09-02
12011,"CPC","CPC likely",2021-09-02
13001,"LPC","LPC safe",2021-09-02
13002,"LPC","LPC safe",2021-09-02
13003,"LPC","CPC leaning",2021-09-02
13004,"CPC","CPC safe",2021-09-02
13005,"LPC","LPC likely",2021-09-02
13006,"LPC","CPC leaning",2021-09-02
13007,"LPC","LPC safe",2021-09-02
13008,"CPC","CPC safe",2021-09-02
13009,"LPC","Toss up LPC/CPC",2021-09-02
13010,"CPC","CPC safe",2021-09-02
24001,"BQ","Toss up LPC/BQ",2021-09-02
24002,"BQ","BQ leaning",2021-09-02
24003,"LPC","LPC safe",2021-09-02
24004,"LPC","LPC safe",2021-09-02
24005,"LPC","LPC leaning",2021-09-02
24006,"BQ","BQ leaning",2021-09-02
24007,"CPC","CPC leaning",2021-09-02
24008,"BQ","CPC leaning",2021-09-02
24009,"BQ","BQ safe",2021-09-02
24010,"CPC","CPC safe",2021-09-02
24011,"BQ","BQ safe",2021-09-02
24012,"BQ","BQ leaning",2021-09-02
24013,"BQ","Toss up LPC/BQ",2021-09-02
