idnum,ED_NAMEE,ED_NAMEF,POPULATION,Region,canada338,PollCloseEST,result
59006,Chilliwack--Hope,Chilliwack--Hope,100126,,CPC likely,10:00pm,
59007,Cloverdale--Langley City,Cloverdale--Langley City,117640,VAN,LPC likely,10:00pm,
59008,Coquitlam--Port Coquitlam,Coquitlam--Port Coquitlam,123576,VAN,LPC safe,10:00pm,
59009,Courtenay--Alberni,Courtenay--Alberni,114647,,NDP safe,10:00pm,
59010,Cowichan--Malahat--Langford,Cowichan--Malahat--Langford,108052,,NDP safe,10:00pm,
59011,Delta,Delta,103064,VAN,LPC safe,10:00pm,
59012,Fleetwood--Port Kells,Fleetwood--Port Kells,116958,VAN,LPC safe,10:00pm,
59013,Kamloops--Thompson--Cariboo,Kamloops--Thompson--Cariboo,124358,,Toss up LPC/CPC,10:00pm,
59014,Kelowna--Lake Country,Kelowna--Lake Country,119388,,LPC leaning,10:00pm,
59015,Kootenay--Columbia,Kootenay--Columbia,112354,,Toss up CPC/NDP,10:00pm,
59016,Langley--Aldergrove,Langley--Aldergrove,117017,VAN,Toss up LPC/CPC,10:00pm,
59017,Mission--Matsqui--Fraser Canyon,Mission--Matsqui--Fraser Canyon,94825,,LPC leaning,10:00pm,
59018,Nanaimo--Ladysmith,Nanaimo--Ladysmith,122710,,GPC leaning,10:00pm,
59019,New Westminster--Burnaby,New Westminster--Burnaby,115340,VAN,NDP safe,10:00pm,
59020,North Okanagan--Shuswap,North Okanagan--Shuswap,124605,,CPC likely,10:00pm,
59021,North Vancouver,North Vancouver,115344,VAN,LPC safe,10:00pm,
59022,Pitt Meadows--Maple Ridge,Pitt Meadows--Maple Ridge,101101,VAN,LPC leaning,10:00pm,
59023,Port Moody--Coquitlam,Port Moody--Coquitlam,110817,VAN,LPC leaning,10:00pm,
59024,Prince George--Peace River--Northern Rockies,Prince George--Peace River--Northern Rockies,110995,,CPC safe,10:00pm,
59025,Richmond Centre,Richmond-Centre,98396,VAN,Toss up LPC/CPC,10:00pm,
59026,Esquimalt--Saanich--Sooke,Esquimalt--Saanich--Sooke,120834,VIC,NDP safe,10:00pm,
59027,Saanich--Gulf Islands,Saanich--Gulf Islands,107339,VIC,GPC safe,10:00pm,
59028,Skeena--Bulkley Valley,Skeena--Bulkley Valley,88920,,NDP safe,10:00pm,
59029,South Okanagan--West Kootenay,Okanagan-Sud--Kootenay-Ouest,114695,,NDP safe,10:00pm,
59030,South Surrey--White Rock,Surrey-Sud--White Rock,104051,VAN,LPC leaning,10:00pm,
59031,Steveston--Richmond East,Steveston--Richmond-Est,99913,VAN,LPC leaning,10:00pm,
59032,Surrey Centre,Surrey-Centre,120172,VAN,LPC safe,10:00pm,
59033,Surrey--Newton,Surrey--Newton,114605,VAN,LPC safe,10:00pm,
59034,Vancouver Centre,Vancouver-Centre,116443,VAN,LPC safe,10:00pm,
59035,Vancouver East,Vancouver-Est,115724,VAN,NDP safe,10:00pm,
59036,Vancouver Granville,Vancouver Granville,103456,VAN,LPC leaning,10:00pm,
59037,North Island--Powell River,North Island--Powell River,105466,,NDP safe,10:00pm,
59038,Vancouver Kingsway,Vancouver Kingsway,104870,VAN,NDP safe,10:00pm,
59039,Vancouver Quadra,Vancouver Quadra,105608,VAN,LPC safe,10:00pm,
59040,Vancouver South,Vancouver-Sud,102927,VAN,LPC safe,10:00pm,
59041,Victoria,Victoria,117133,VIC,NDP likely,10:00pm,
59042,West Vancouver--Sunshine Coast--Sea to Sky Country,West Vancouver--Sunshine Coast--Sea to Sky Country,119113,,LPC safe,10:00pm,
60001,Yukon,Yukon,35874,,Toss up LPC/NDP,10:00pm,
61001,Northwest Territories,Territoires du Nord-Ouest,41786,,LPC leaning,9:30pm,
62001,Nunavut,Nunavut,35944,,NDP leaning,9:30pm,
