"riding_code","current_party","current_projection","date"
10001,"LPC","LPC safe",2021-08-20
10002,"LPC","LPC likely",2021-08-20
10003,"LPC","LPC safe",2021-08-20
10004,"LPC","LPC leaning",2021-08-20
10005,"LPC","LPC safe",2021-08-20
10006,"NDP","NDP likely",2021-08-20
10007,"LPC","LPC likely",2021-08-20
11001,"LPC","LPC safe",2021-08-20
11002,"LPC","LPC safe",2021-08-20
11003,"LPC","LPC likely",2021-08-20
11004,"LPC","LPC safe",2021-08-20
12001,"LPC","LPC likely",2021-08-20
12002,"LPC","LPC likely",2021-08-20
12003,"LPC","LPC leaning",2021-08-20
12004,"LPC","LPC likely",2021-08-20
12005,"LPC","Toss up LPC/NDP",2021-08-20
12006,"LPC","LPC safe",2021-08-20
12007,"LPC","LPC safe",2021-08-20
12008,"LPC","LPC likely",2021-08-20
12009,"LPC","LPC safe",2021-08-20
12010,"LPC","Toss up LPC/CPC",2021-08-20
12011,"CPC","Toss up LPC/CPC",2021-08-20
13001,"LPC","LPC safe",2021-08-20
13002,"LPC","LPC safe",2021-08-20
13003,"LPC","Toss up LPC/CPC/GPC",2021-08-20
13004,"CPC","CPC safe",2021-08-20
13005,"LPC","LPC safe",2021-08-20
13006,"LPC","Toss up LPC/CPC",2021-08-20
13007,"LPC","LPC safe",2021-08-20
13008,"CPC","CPC safe",2021-08-20
13009,"LPC","LPC likely",2021-08-20
13010,"CPC","CPC safe",2021-08-20
24001,"BQ","Toss up LPC/BQ",2021-08-20
24002,"BQ","BQ leaning",2021-08-20
24003,"LPC","LPC safe",2021-08-20
24004,"LPC","LPC safe",2021-08-20
24005,"LPC","LPC leaning",2021-08-20
24006,"BQ","BQ leaning",2021-08-20
24007,"CPC","CPC leaning",2021-08-20
24008,"BQ","Toss up LPC/CPC/BQ",2021-08-20
24009,"BQ","BQ safe",2021-08-20
24010,"CPC","CPC safe",2021-08-20
24011,"BQ","BQ safe",2021-08-20
24012,"BQ","BQ likely",2021-08-20
24013,"BQ","Toss up LPC/BQ",2021-08-20
24014,"BQ","BQ likely",2021-08-20
24015,"LPC","LPC safe",2021-08-20
24016,"LPC","LPC likely",2021-08-20
24017,"LPC","LPC safe",2021-08-20
24018,"BQ","BQ leaning",2021-08-20
24019,"CPC","CPC safe",2021-08-20
24020,"BQ","Toss up CPC/BQ",2021-08-20
24021,"LPC","LPC leaning",2021-08-20
24022,"CPC","CPC leaning",2021-08-20
24023,"LPC","LPC likely",2021-08-20
24024,"LPC","LPC safe",2021-08-20
24025,"BQ","BQ safe",2021-08-20
24026,"LPC","LPC leaning",2021-08-20
24027,"LPC","LPC safe",2021-08-20
24028,"LPC","LPC leaning",2021-08-20
24029,"LPC","LPC safe",2021-08-20
24030,"LPC","LPC safe",2021-08-20
24031,"BQ","BQ safe",2021-08-20
24032,"BQ","BQ likely",2021-08-20
24033,"BQ","BQ leaning",2021-08-20
24034,"BQ","Toss up LPC/BQ",2021-08-20
24035,"BQ","BQ likely",2021-08-20
24036,"LPC","LPC safe",2021-08-20
24037,"LPC","LPC safe",2021-08-20
24038,"BQ","BQ leaning",2021-08-20
24039,"LPC","LPC likely",2021-08-20
24040,"LPC","LPC safe",2021-08-20
24041,"LPC","LPC likely",2021-08-20
24042,"CPC","CPC safe",2021-08-20
24043,"BQ","Toss up LPC/BQ",2021-08-20
24044,"LPC","LPC safe",2021-08-20
24045,"CPC","CPC safe",2021-08-20
24046,"BQ","BQ safe",2021-08-20
24047,"CPC","CPC safe",2021-08-20
24048,"BQ","BQ safe",2021-08-20
24049,"BQ","Toss up LPC/BQ",2021-08-20
24050,"BQ","BQ safe",2021-08-20
24051,"CPC","CPC likely",2021-08-20
24052,"LPC","LPC safe",2021-08-20
24053,"LPC","LPC safe",2021-08-20
24054,"LPC","LPC safe",2021-08-20
24055,"LPC","LPC safe",2021-08-20
24056,"LPC","LPC safe",2021-08-20
24057,"LPC","LPC safe",2021-08-20
24058,"CPC","CPC safe",2021-08-20
24059,"LPC","LPC leaning",2021-08-20
24060,"BQ","BQ likely",2021-08-20
24061,"CPC","CPC safe",2021-08-20
24062,"BQ","Toss up LPC/BQ",2021-08-20
24063,"BQ","BQ safe",2021-08-20
24064,"NDP","NDP likely",2021-08-20
24065,"LPC","LPC safe",2021-08-20
24066,"BQ","BQ likely",2021-08-20
24067,"BQ","BQ leaning",2021-08-20
24068,"LPC","LPC safe",2021-08-20
24069,"LPC","LPC safe",2021-08-20
24070,"LPC","LPC likely",2021-08-20
24071,"BQ","BQ likely",2021-08-20
24072,"BQ","Toss up LPC/BQ",2021-08-20
24073,"LPC","LPC leaning",2021-08-20
24074,"LPC","LPC safe",2021-08-20
24075,"BQ","BQ likely",2021-08-20
24076,"BQ","Toss up LPC/CPC/BQ",2021-08-20
24077,"LPC","LPC safe",2021-08-20
24078,"LPC","LPC safe",2021-08-20
35001,"LPC","LPC safe",2021-08-20
35002,"NDP","NDP safe",2021-08-20
35003,"CPC","Toss up LPC/CPC",2021-08-20
35004,"CPC","CPC likely",2021-08-20
35005,"CPC","CPC leaning",2021-08-20
35006,"LPC","Toss up LPC/CPC",2021-08-20
35007,"LPC","LPC safe",2021-08-20
35008,"IND","LPC likely",2021-08-20
35009,"LPC","LPC leaning",2021-08-20
35010,"LPC","LPC safe",2021-08-20
35011,"LPC","LPC safe",2021-08-20
35012,"LPC","LPC safe",2021-08-20
35013,"CPC","CPC likely",2021-08-20
35014,"CPC","CPC likely",2021-08-20
35015,"LPC","LPC likely",2021-08-20
35016,"LPC","LPC likely",2021-08-20
35017,"CPC","CPC likely",2021-08-20
35018,"LPC","NDP leaning",2021-08-20
35019,"IND","LPC safe",2021-08-20
35020,"LPC","LPC likely",2021-08-20
35021,"LPC","LPC safe",2021-08-20
35022,"CPC","CPC likely",2021-08-20
35023,"CPC","CPC likely",2021-08-20
35024,"LPC","LPC safe",2021-08-20
35025,"CPC","CPC safe",2021-08-20
35026,"CPC","NDP leaning",2021-08-20
35027,"LPC","LPC safe",2021-08-20
35028,"LPC","LPC safe",2021-08-20
35029,"LPC","LPC safe",2021-08-20
35030,"CPC","CPC leaning",2021-08-20
35031,"LPC","LPC likely",2021-08-20
35032,"LPC","LPC safe",2021-08-20
35033,"Vacant","CPC safe",2021-08-20
35034,"CPC","CPC safe",2021-08-20
35035,"NDP","NDP safe",2021-08-20
35036,"LPC","NDP leaning",2021-08-20
35037,"NDP","NDP safe",2021-08-20
35038,"LPC","LPC safe",2021-08-20
35039,"IND","Toss up LPC/CPC",2021-08-20
35040,"CPC","CPC likely",2021-08-20
35041,"LPC","LPC leaning",2021-08-20
35042,"CPC","NDP leaning",2021-08-20
