"riding_code","current_party","current_projection","date"
10001,"LPC","LPC leaning",2021-09-05
10002,"LPC","Toss up LPC/CPC",2021-09-05
10003,"LPC","LPC leaning",2021-09-05
10004,"LPC","Toss up LPC/CPC/NDP",2021-09-05
10005,"LPC","LPC likely",2021-09-05
10006,"NDP","NDP safe",2021-09-05
10007,"LPC","LPC leaning",2021-09-05
11001,"LPC","LPC likely",2021-09-05
11002,"LPC","LPC safe",2021-09-05
11003,"LPC","Toss up LPC/CPC",2021-09-05
11004,"LPC","LPC leaning",2021-09-05
12001,"LPC","CPC leaning",2021-09-05
12002,"LPC","Toss up LPC/CPC",2021-09-05
12003,"LPC","CPC likely",2021-09-05
12004,"LPC","Toss up LPC/NDP",2021-09-05
12005,"LPC","Toss up LPC/NDP",2021-09-05
12006,"LPC","LPC safe",2021-09-05
12007,"LPC","LPC likely",2021-09-05
12008,"LPC","Toss up LPC/NDP",2021-09-05
12009,"LPC","Toss up LPC/CPC",2021-09-05
12010,"LPC","CPC leaning",2021-09-05
12011,"CPC","CPC likely",2021-09-05
13001,"LPC","LPC safe",2021-09-05
13002,"LPC","LPC safe",2021-09-05
13003,"LPC","CPC leaning",2021-09-05
13004,"CPC","CPC safe",2021-09-05
13005,"LPC","LPC likely",2021-09-05
13006,"LPC","CPC likely",2021-09-05
13007,"LPC","LPC likely",2021-09-05
13008,"CPC","CPC safe",2021-09-05
13009,"LPC","Toss up LPC/CPC",2021-09-05
13010,"CPC","CPC safe",2021-09-05
24001,"BQ","Toss up LPC/BQ",2021-09-05
24002,"BQ","BQ leaning",2021-09-05
24003,"LPC","LPC safe",2021-09-05
24004,"LPC","LPC safe",2021-09-05
24005,"LPC","LPC leaning",2021-09-05
24006,"BQ","BQ leaning",2021-09-05
24007,"CPC","CPC leaning",2021-09-05
24008,"BQ","Toss up LPC/CPC",2021-09-05
24009,"BQ","BQ safe",2021-09-05
24010,"CPC","CPC safe",2021-09-05
24011,"BQ","BQ safe",2021-09-05
24012,"BQ","BQ leaning",2021-09-05
24013,"BQ","Toss up LPC/BQ",2021-09-05
24014,"BQ","BQ likely",2021-09-05
24015,"LPC","LPC safe",2021-09-05
24016,"LPC","LPC likely",2021-09-05
24017,"LPC","LPC safe",2021-09-05
24018,"BQ","BQ likely",2021-09-05
24019,"CPC","CPC safe",2021-09-05
24020,"BQ","CPC likely",2021-09-05
24021,"LPC","LPC leaning",2021-09-05
24022,"CPC","CPC safe",2021-09-05
24023,"LPC","LPC likely",2021-09-05
24024,"LPC","LPC safe",2021-09-05
24025,"BQ","BQ likely",2021-09-05
24026,"LPC","LPC likely",2021-09-05
24027,"LPC","LPC safe",2021-09-05
24028,"LPC","LPC leaning",2021-09-05
24029,"LPC","LPC safe",2021-09-05
24030,"LPC","LPC safe",2021-09-05
24031,"BQ","BQ safe",2021-09-05
24032,"BQ","Toss up CPC/BQ",2021-09-05
24033,"BQ","BQ likely",2021-09-05
24034,"BQ","Toss up LPC/BQ",2021-09-05
24035,"BQ","BQ leaning",2021-09-05
24036,"LPC","LPC safe",2021-09-05
24037,"LPC","LPC safe",2021-09-05
24038,"BQ","BQ leaning",2021-09-05
24039,"LPC","LPC likely",2021-09-05
24040,"LPC","LPC safe",2021-09-05
24041,"LPC","LPC likely",2021-09-05
24042,"CPC","CPC safe",2021-09-05
24043,"BQ","Toss up LPC/BQ",2021-09-05
24044,"LPC","LPC safe",2021-09-05
24045,"CPC","CPC safe",2021-09-05
24046,"BQ","BQ likely",2021-09-05
24047,"CPC","CPC safe",2021-09-05
24048,"BQ","BQ likely",2021-09-05
24049,"BQ","Toss up LPC/BQ",2021-09-05
24050,"BQ","BQ safe",2021-09-05
24051,"CPC","CPC safe",2021-09-05
24052,"LPC","LPC safe",2021-09-05
24053,"LPC","LPC safe",2021-09-05
24054,"LPC","LPC safe",2021-09-05
24055,"LPC","LPC safe",2021-09-05
24056,"LPC","LPC safe",2021-09-05
24057,"LPC","LPC safe",2021-09-05
24058,"CPC","CPC safe",2021-09-05
24059,"LPC","LPC leaning",2021-09-05
24060,"BQ","BQ likely",2021-09-05
24061,"CPC","CPC safe",2021-09-05
24062,"BQ","Toss up LPC/BQ",2021-09-05
24063,"BQ","BQ safe",2021-09-05
24064,"NDP","NDP likely",2021-09-05
24065,"LPC","LPC safe",2021-09-05
24066,"BQ","BQ leaning",2021-09-05
24067,"BQ","BQ leaning",2021-09-05
24068,"LPC","LPC safe",2021-09-05
24069,"LPC","LPC safe",2021-09-05
24070,"LPC","LPC likely",2021-09-05
24071,"BQ","BQ leaning",2021-09-05
24072,"BQ","Toss up LPC/BQ",2021-09-05
24073,"LPC","LPC leaning",2021-09-05
24074,"LPC","LPC safe",2021-09-05
24075,"BQ","BQ likely",2021-09-05
24076,"BQ","CPC leaning",2021-09-05
24077,"LPC","LPC safe",2021-09-05
24078,"LPC","LPC safe",2021-09-05
35001,"LPC","LPC safe",2021-09-05
35002,"NDP","NDP safe",2021-09-05
35003,"CPC","CPC leaning",2021-09-05
35004,"CPC","CPC safe",2021-09-05
35005,"CPC","CPC likely",2021-09-05
35006,"LPC","CPC leaning",2021-09-05
35007,"LPC","LPC safe",2021-09-05
35008,"IND","LPC likely",2021-09-05
35009,"LPC","LPC likely",2021-09-05
35010,"LPC","LPC likely",2021-09-05
35011,"LPC","LPC likely",2021-09-05
35012,"LPC","LPC safe",2021-09-05
35013,"CPC","CPC safe",2021-09-05
35014,"CPC","CPC safe",2021-09-05
35015,"LPC","LPC leaning",2021-09-05
35016,"LPC","Toss up LPC/CPC",2021-09-05
35017,"CPC","CPC safe",2021-09-05
35018,"LPC","Toss up LPC/NDP",2021-09-05
35019,"IND","LPC safe",2021-09-05
35020,"LPC","LPC leaning",2021-09-05
35021,"LPC","LPC likely",2021-09-05
35022,"CPC","CPC safe",2021-09-05
35023,"CPC","CPC safe",2021-09-05
35024,"LPC","LPC likely",2021-09-05
35025,"CPC","CPC safe",2021-09-05
35026,"CPC","CPC leaning",2021-09-05
35027,"LPC","LPC leaning",2021-09-05
35028,"LPC","LPC likely",2021-09-05
35029,"LPC","LPC safe",2021-09-05
35030,"CPC","CPC likely",2021-09-05
35031,"LPC","Toss up LPC/CPC",2021-09-05
35032,"LPC","LPC safe",2021-09-05
35033,"Vacant","CPC safe",2021-09-05
35034,"CPC","CPC safe",2021-09-05
35035,"NDP","NDP safe",2021-09-05
35036,"LPC","Toss up LPC/CPC/NDP",2021-09-05
35037,"NDP","NDP safe",2021-09-05
35038,"LPC","LPC likely",2021-09-05
35039,"IND","CPC leaning",2021-09-05
35040,"CPC","CPC safe",2021-09-05
35041,"LPC","Toss up LPC/CPC",2021-09-05
35042,"CPC","CPC leaning",2021-09-05
35043,"LPC","CPC leaning",2021-09-05
35044,"LPC","LPC likely",2021-09-05
