"riding_code","current_party","current_projection","date"
10001,"LPC","LPC likely",2021-08-28
10002,"LPC","LPC leaning",2021-08-28
10003,"LPC","LPC likely",2021-08-28
10004,"LPC","LPC leaning",2021-08-28
10005,"LPC","LPC safe",2021-08-28
10006,"NDP","NDP likely",2021-08-28
10007,"LPC","LPC likely",2021-08-28
11001,"LPC","LPC safe",2021-08-28
11002,"LPC","LPC safe",2021-08-28
11003,"LPC","LPC leaning",2021-08-28
11004,"LPC","LPC likely",2021-08-28
12001,"LPC","Toss up LPC/CPC",2021-08-28
12002,"LPC","LPC leaning",2021-08-28
12003,"LPC","CPC leaning",2021-08-28
12004,"LPC","LPC likely",2021-08-28
12005,"LPC","LPC leaning",2021-08-28
12006,"LPC","LPC safe",2021-08-28
12007,"LPC","LPC safe",2021-08-28
12008,"LPC","LPC likely",2021-08-28
12009,"LPC","LPC likely",2021-08-28
12010,"LPC","CPC leaning",2021-08-28
12011,"CPC","CPC leaning",2021-08-28
13001,"LPC","LPC safe",2021-08-28
13002,"LPC","LPC safe",2021-08-28
13003,"LPC","CPC leaning",2021-08-28
13004,"CPC","CPC safe",2021-08-28
13005,"LPC","LPC safe",2021-08-28
13006,"LPC","Toss up LPC/CPC",2021-08-28
13007,"LPC","LPC safe",2021-08-28
13008,"CPC","CPC safe",2021-08-28
13009,"LPC","Toss up LPC/CPC",2021-08-28
13010,"CPC","CPC safe",2021-08-28
24001,"BQ","Toss up LPC/BQ",2021-08-28
24002,"BQ","Toss up LPC/BQ",2021-08-28
24003,"LPC","LPC safe",2021-08-28
24004,"LPC","LPC safe",2021-08-28
24005,"LPC","LPC likely",2021-08-28
24006,"BQ","BQ leaning",2021-08-28
24007,"CPC","Toss up CPC/PPC",2021-08-28
24008,"BQ","Toss up LPC/CPC/BQ",2021-08-28
24009,"BQ","BQ safe",2021-08-28
24010,"CPC","CPC safe",2021-08-28
24011,"BQ","BQ likely",2021-08-28
24012,"BQ","BQ leaning",2021-08-28
24013,"BQ","Toss up LPC/BQ",2021-08-28
24014,"BQ","BQ likely",2021-08-28
24015,"LPC","LPC safe",2021-08-28
24016,"LPC","LPC likely",2021-08-28
24017,"LPC","LPC safe",2021-08-28
24018,"BQ","BQ leaning",2021-08-28
24019,"CPC","CPC safe",2021-08-28
24020,"BQ","Toss up CPC/BQ",2021-08-28
24021,"LPC","LPC likely",2021-08-28
24022,"CPC","CPC likely",2021-08-28
24023,"LPC","LPC likely",2021-08-28
24024,"LPC","LPC safe",2021-08-28
24025,"BQ","BQ safe",2021-08-28
24026,"LPC","LPC likely",2021-08-28
24027,"LPC","LPC safe",2021-08-28
24028,"LPC","LPC likely",2021-08-28
24029,"LPC","LPC safe",2021-08-28
24030,"LPC","LPC safe",2021-08-28
24031,"BQ","BQ safe",2021-08-28
24032,"BQ","BQ leaning",2021-08-28
24033,"BQ","BQ leaning",2021-08-28
24034,"BQ","Toss up LPC/BQ",2021-08-28
24035,"BQ","BQ leaning",2021-08-28
24036,"LPC","LPC safe",2021-08-28
24037,"LPC","LPC safe",2021-08-28
24038,"BQ","Toss up LPC/BQ",2021-08-28
24039,"LPC","LPC likely",2021-08-28
24040,"LPC","LPC safe",2021-08-28
24041,"LPC","LPC likely",2021-08-28
24042,"CPC","CPC safe",2021-08-28
24043,"BQ","LPC leaning",2021-08-28
24044,"LPC","LPC safe",2021-08-28
24045,"CPC","CPC safe",2021-08-28
24046,"BQ","BQ safe",2021-08-28
24047,"CPC","CPC safe",2021-08-28
24048,"BQ","BQ likely",2021-08-28
24049,"BQ","Toss up LPC/BQ",2021-08-28
24050,"BQ","BQ safe",2021-08-28
24051,"CPC","CPC safe",2021-08-28
24052,"LPC","LPC safe",2021-08-28
24053,"LPC","LPC safe",2021-08-28
24054,"LPC","LPC safe",2021-08-28
24055,"LPC","LPC safe",2021-08-28
24056,"LPC","LPC safe",2021-08-28
24057,"LPC","LPC safe",2021-08-28
24058,"CPC","CPC safe",2021-08-28
24059,"LPC","LPC likely",2021-08-28
24060,"BQ","BQ likely",2021-08-28
24061,"CPC","CPC safe",2021-08-28
24062,"BQ","Toss up LPC/BQ",2021-08-28
24063,"BQ","BQ safe",2021-08-28
24064,"NDP","NDP likely",2021-08-28
24065,"LPC","LPC safe",2021-08-28
24066,"BQ","BQ likely",2021-08-28
24067,"BQ","Toss up LPC/BQ",2021-08-28
24068,"LPC","LPC safe",2021-08-28
24069,"LPC","LPC safe",2021-08-28
24070,"LPC","LPC likely",2021-08-28
24071,"BQ","BQ leaning",2021-08-28
24072,"BQ","LPC leaning",2021-08-28
24073,"LPC","LPC likely",2021-08-28
24074,"LPC","LPC safe",2021-08-28
