"riding_code","current_party","current_projection","date"
10001,"LPC","LPC likely",2021-09-03
10002,"LPC","Toss up LPC/CPC",2021-09-03
10003,"LPC","LPC likely",2021-09-03
10004,"LPC","Toss up LPC/CPC/NDP",2021-09-03
10005,"LPC","LPC likely",2021-09-03
10006,"NDP","NDP safe",2021-09-03
10007,"LPC","LPC leaning",2021-09-03
11001,"LPC","LPC likely",2021-09-03
11002,"LPC","LPC safe",2021-09-03
11003,"LPC","Toss up LPC/CPC",2021-09-03
11004,"LPC","LPC leaning",2021-09-03
12001,"LPC","CPC leaning",2021-09-03
12002,"LPC","Toss up LPC/CPC",2021-09-03
12003,"LPC","CPC likely",2021-09-03
12004,"LPC","Toss up LPC/NDP",2021-09-03
12005,"LPC","NDP leaning",2021-09-03
12006,"LPC","LPC safe",2021-09-03
12007,"LPC","LPC likely",2021-09-03
12008,"LPC","LPC leaning",2021-09-03
12009,"LPC","LPC leaning",2021-09-03
12010,"LPC","CPC leaning",2021-09-03
12011,"CPC","CPC likely",2021-09-03
13001,"LPC","LPC safe",2021-09-03
13002,"LPC","LPC safe",2021-09-03
13003,"LPC","Toss up LPC/CPC",2021-09-03
13004,"CPC","CPC safe",2021-09-03
13005,"LPC","LPC likely",2021-09-03
13006,"LPC","CPC leaning",2021-09-03
13007,"LPC","LPC safe",2021-09-03
13008,"CPC","CPC safe",2021-09-03
13009,"LPC","Toss up LPC/CPC",2021-09-03
13010,"CPC","CPC safe",2021-09-03
24001,"BQ","Toss up LPC/BQ",2021-09-03
24002,"BQ","BQ leaning",2021-09-03
24003,"LPC","LPC safe",2021-09-03
24004,"LPC","LPC safe",2021-09-03
24005,"LPC","LPC leaning",2021-09-03
24006,"BQ","BQ leaning",2021-09-03
24007,"CPC","CPC leaning",2021-09-03
24008,"BQ","CPC leaning",2021-09-03
24009,"BQ","BQ safe",2021-09-03
24010,"CPC","CPC safe",2021-09-03
24011,"BQ","BQ safe",2021-09-03
24012,"BQ","BQ leaning",2021-09-03
24013,"BQ","Toss up LPC/BQ",2021-09-03
24014,"BQ","BQ likely",2021-09-03
24015,"LPC","LPC safe",2021-09-03
24016,"LPC","LPC likely",2021-09-03
24017,"LPC","LPC safe",2021-09-03
24018,"BQ","BQ likely",2021-09-03
24019,"CPC","CPC safe",2021-09-03
24020,"BQ","CPC leaning",2021-09-03
24021,"LPC","LPC leaning",2021-09-03
24022,"CPC","CPC likely",2021-09-03
24023,"LPC","LPC likely",2021-09-03
24024,"LPC","LPC safe",2021-09-03
24025,"BQ","BQ likely",2021-09-03
24026,"LPC","LPC leaning",2021-09-03
24027,"LPC","LPC safe",2021-09-03
24028,"LPC","LPC leaning",2021-09-03
24029,"LPC","LPC safe",2021-09-03
24030,"LPC","LPC safe",2021-09-03
24031,"BQ","BQ safe",2021-09-03
24032,"BQ","Toss up CPC/BQ",2021-09-03
24033,"BQ","BQ likely",2021-09-03
24034,"BQ","Toss up LPC/BQ",2021-09-03
24035,"BQ","BQ leaning",2021-09-03
