riding_code,current_party,current_projection,date
46008,CPC,CPC safe,2021-08-30
46009,LPC,LPC likely,2021-08-30
46010,CPC,CPC safe,2021-08-30
46011,NDP,NDP likely,2021-08-30
46012,LPC,LPC likely,2021-08-30
46013,Tos,Toss up LPC/CPC,2021-08-30
46014,LPC,LPC likely,2021-08-30
47001,CPC,CPC safe,2021-08-30
47002,CPC,CPC safe,2021-08-30
47003,Tos,Toss up LPC/CPC/NDP,2021-08-30
47004,CPC,CPC safe,2021-08-30
47005,CPC,CPC safe,2021-08-30
47006,CPC,CPC safe,2021-08-30
47007,CPC,CPC leaning,2021-08-30
47008,CPC,CPC safe,2021-08-30
47009,CPC,CPC leaning,2021-08-30
47010,CPC,CPC safe,2021-08-30
47011,CPC,CPC likely,2021-08-30
47012,Tos,Toss up CPC/NDP,2021-08-30
47013,CPC,CPC safe,2021-08-30
47014,CPC,CPC safe,2021-08-30
48001,CPC,CPC safe,2021-08-30
48002,CPC,CPC safe,2021-08-30
48003,CPC,CPC safe,2021-08-30
48004,Tos,Toss up LPC/CPC,2021-08-30
48005,CPC,CPC leaning,2021-08-30
48006,CPC,CPC likely,2021-08-30
48007,CPC,CPC safe,2021-08-30
48008,CPC,CPC safe,2021-08-30
48009,CPC,CPC safe,2021-08-30
48010,CPC,CPC safe,2021-08-30
48011,CPC,CPC safe,2021-08-30
48012,CPC,CPC safe,2021-08-30
48013,Tos,Toss up LPC/CPC,2021-08-30
48014,Tos,Toss up LPC/CPC,2021-08-30
48015,CPC,CPC leaning,2021-08-30
48016,CPC,CPC likely,2021-08-30
48017,Tos,Toss up LPC/CPC,2021-08-30
48018,CPC,CPC likely,2021-08-30
48019,NDP,NDP safe,2021-08-30
48020,CPC,CPC safe,2021-08-30
48021,CPC,CPC safe,2021-08-30
48022,CPC,CPC safe,2021-08-30
48023,CPC,CPC safe,2021-08-30
48024,CPC,CPC safe,2021-08-30
48025,CPC,CPC safe,2021-08-30
48026,CPC,CPC safe,2021-08-30
48027,CPC,CPC safe,2021-08-30
48028,CPC,CPC safe,2021-08-30
48029,CPC,CPC safe,2021-08-30
48030,CPC,CPC safe,2021-08-30
48031,CPC,CPC safe,2021-08-30
48032,CPC,CPC safe,2021-08-30
48033,CPC,CPC safe,2021-08-30
48034,CPC,CPC safe,2021-08-30
59001,CPC,CPC safe,2021-08-30
59002,Tos,Toss up LPC/NDP,2021-08-30
59003,NDP,NDP likely,2021-08-30
59004,CPC,CPC safe,2021-08-30
59005,CPC,CPC safe,2021-08-30
59006,CPC,CPC safe,2021-08-30
59007,CPC,CPC leaning,2021-08-30
59008,LPC,LPC leaning,2021-08-30
59009,NDP,NDP safe,2021-08-30
59010,NDP,NDP safe,2021-08-30
