"riding_code","current_party","current_projection","date"
10001,"LPC","LPC likely",2021-08-31
10002,"LPC","LPC leaning",2021-08-31
10003,"LPC","LPC likely",2021-08-31
10004,"LPC","Toss up LPC/CPC/NDP",2021-08-31
10005,"LPC","LPC likely",2021-08-31
10006,"NDP","NDP likely",2021-08-31
10007,"LPC","LPC likely",2021-08-31
11001,"LPC","LPC likely",2021-08-31
11002,"LPC","LPC safe",2021-08-31
11003,"LPC","Toss up LPC/CPC",2021-08-31
11004,"LPC","LPC likely",2021-08-31
12001,"LPC","CPC leaning",2021-08-31
12002,"LPC","Toss up LPC/CPC",2021-08-31
12003,"LPC","CPC leaning",2021-08-31
12004,"LPC","LPC leaning",2021-08-31
12005,"LPC","Toss up LPC/NDP",2021-08-31
12006,"LPC","LPC safe",2021-08-31
12007,"LPC","LPC likely",2021-08-31
12008,"LPC","LPC leaning",2021-08-31
12009,"LPC","LPC leaning",2021-08-31
12010,"LPC","CPC leaning",2021-08-31
12011,"CPC","CPC leaning",2021-08-31
13001,"LPC","LPC safe",2021-08-31
13002,"LPC","LPC safe",2021-08-31
13003,"LPC","CPC leaning",2021-08-31
13004,"CPC","CPC safe",2021-08-31
13005,"LPC","LPC likely",2021-08-31
13006,"LPC","CPC leaning",2021-08-31
13007,"LPC","LPC safe",2021-08-31
13008,"CPC","CPC safe",2021-08-31
13009,"LPC","Toss up LPC/CPC",2021-08-31
13010,"CPC","CPC safe",2021-08-31
24001,"BQ","Toss up LPC/BQ",2021-08-31
24002,"BQ","BQ leaning",2021-08-31
24003,"LPC","LPC safe",2021-08-31
24004,"LPC","LPC safe",2021-08-31
24005,"LPC","LPC likely",2021-08-31
24006,"BQ","BQ leaning",2021-08-31
24007,"CPC","CPC leaning",2021-08-31
24008,"BQ","Toss up LPC/CPC/BQ",2021-08-31
24009,"BQ","BQ safe",2021-08-31
24010,"CPC","CPC safe",2021-08-31
24011,"BQ","BQ safe",2021-08-31
24012,"BQ","BQ leaning",2021-08-31
24013,"BQ","Toss up LPC/BQ",2021-08-31
24014,"BQ","BQ likely",2021-08-31
24015,"LPC","LPC safe",2021-08-31
24016,"LPC","LPC likely",2021-08-31
24017,"LPC","LPC safe",2021-08-31
24018,"BQ","BQ likely",2021-08-31
24019,"CPC","CPC safe",2021-08-31
24020,"BQ","CPC leaning",2021-08-31
24021,"LPC","LPC leaning",2021-08-31
24022,"CPC","CPC likely",2021-08-31
24023,"LPC","LPC likely",2021-08-31
24024,"LPC","LPC safe",2021-08-31
24025,"BQ","BQ safe",2021-08-31
24026,"LPC","LPC likely",2021-08-31
24027,"LPC","LPC safe",2021-08-31
24028,"LPC","LPC leaning",2021-08-31
24029,"LPC","LPC safe",2021-08-31
24030,"LPC","LPC safe",2021-08-31
24031,"BQ","BQ safe",2021-08-31
24032,"BQ","BQ leaning",2021-08-31
