"riding_code","current_party","current_projection","date"
10001,"LPC","LPC leaning",2021-09-07
10002,"LPC","Toss up LPC/CPC",2021-09-07
10003,"LPC","LPC leaning",2021-09-07
10004,"LPC","Toss up LPC/CPC/NDP",2021-09-07
10005,"LPC","LPC likely",2021-09-07
10006,"NDP","NDP safe",2021-09-07
10007,"LPC","LPC leaning",2021-09-07
11001,"LPC","LPC likely",2021-09-07
11002,"LPC","LPC safe",2021-09-07
11003,"LPC","Toss up LPC/CPC",2021-09-07
11004,"LPC","LPC leaning",2021-09-07
12001,"LPC","Toss up LPC/CPC",2021-09-07
12002,"LPC","Toss up LPC/CPC",2021-09-07
12003,"LPC","CPC leaning",2021-09-07
12004,"LPC","Toss up LPC/NDP",2021-09-07
12005,"LPC","Toss up LPC/NDP",2021-09-07
12006,"LPC","LPC safe",2021-09-07
12007,"LPC","LPC likely",2021-09-07
12008,"LPC","Toss up LPC/NDP",2021-09-07
12009,"LPC","Toss up LPC/CPC",2021-09-07
12010,"LPC","CPC leaning",2021-09-07
12011,"CPC","CPC likely",2021-09-07
13001,"LPC","LPC safe",2021-09-07
13002,"LPC","LPC safe",2021-09-07
13003,"LPC","Toss up LPC/CPC",2021-09-07
13004,"CPC","CPC safe",2021-09-07
13005,"LPC","LPC likely",2021-09-07
13006,"LPC","CPC leaning",2021-09-07
13007,"LPC","LPC likely",2021-09-07
13008,"CPC","CPC safe",2021-09-07
13009,"LPC","Toss up LPC/CPC",2021-09-07
13010,"CPC","CPC safe",2021-09-07
24001,"BQ","Toss up LPC/BQ",2021-09-07
24002,"BQ","BQ leaning",2021-09-07
24003,"LPC","LPC safe",2021-09-07
24004,"LPC","LPC safe",2021-09-07
24005,"LPC","LPC leaning",2021-09-07
24006,"BQ","BQ leaning",2021-09-07
24007,"CPC","Toss up CPC/PPC",2021-09-07
24008,"BQ","Toss up LPC/CPC",2021-09-07
24009,"BQ","BQ safe",2021-09-07
24010,"CPC","CPC safe",2021-09-07
24011,"BQ","BQ safe",2021-09-07
24012,"BQ","BQ leaning",2021-09-07
24013,"BQ","Toss up LPC/BQ",2021-09-07
24014,"BQ","BQ likely",2021-09-07
24015,"LPC","LPC safe",2021-09-07
24016,"LPC","LPC likely",2021-09-07
24017,"LPC","LPC safe",2021-09-07
24018,"BQ","BQ likely",2021-09-07
24019,"CPC","CPC safe",2021-09-07
24020,"BQ","CPC likely",2021-09-07
24021,"LPC","LPC leaning",2021-09-07
24022,"CPC","CPC safe",2021-09-07
24023,"LPC","LPC likely",2021-09-07
24024,"LPC","LPC safe",2021-09-07
24025,"BQ","BQ likely",2021-09-07
24026,"LPC","LPC leaning",2021-09-07
24027,"LPC","LPC safe",2021-09-07
24028,"LPC","LPC leaning",2021-09-07
24029,"LPC","LPC safe",2021-09-07
24030,"LPC","LPC safe",2021-09-07
24031,"BQ","BQ safe",2021-09-07
