"riding_code","current_party","current_projection","date"
10001,"LPC","LPC safe",2021-08-27
10002,"LPC","LPC likely",2021-08-27
10003,"LPC","LPC likely",2021-08-27
10004,"LPC","LPC leaning",2021-08-27
10005,"LPC","LPC safe",2021-08-27
10006,"NDP","NDP likely",2021-08-27
10007,"LPC","LPC likely",2021-08-27
11001,"LPC","LPC safe",2021-08-27
11002,"LPC","LPC safe",2021-08-27
11003,"LPC","LPC leaning",2021-08-27
11004,"LPC","LPC likely",2021-08-27
12001,"LPC","Toss up LPC/CPC",2021-08-27
12002,"LPC","LPC leaning",2021-08-27
12003,"LPC","Toss up LPC/CPC",2021-08-27
12004,"LPC","LPC likely",2021-08-27
12005,"LPC","LPC leaning",2021-08-27
12006,"LPC","LPC safe",2021-08-27
12007,"LPC","LPC safe",2021-08-27
12008,"LPC","LPC likely",2021-08-27
12009,"LPC","LPC likely",2021-08-27
12010,"LPC","Toss up LPC/CPC",2021-08-27
12011,"CPC","CPC leaning",2021-08-27
13001,"LPC","LPC safe",2021-08-27
13002,"LPC","LPC safe",2021-08-27
13003,"LPC","Toss up LPC/CPC",2021-08-27
13004,"CPC","CPC safe",2021-08-27
13005,"LPC","LPC safe",2021-08-27
13006,"LPC","Toss up LPC/CPC",2021-08-27
13007,"LPC","LPC safe",2021-08-27
13008,"CPC","CPC safe",2021-08-27
13009,"LPC","LPC leaning",2021-08-27
13010,"CPC","CPC safe",2021-08-27
24001,"BQ","Toss up LPC/BQ",2021-08-27
24002,"BQ","BQ leaning",2021-08-27
24003,"LPC","LPC safe",2021-08-27
24004,"LPC","LPC safe",2021-08-27
24005,"LPC","LPC likely",2021-08-27
24006,"BQ","BQ leaning",2021-08-27
24007,"CPC","Toss up CPC/PPC",2021-08-27
24008,"BQ","Toss up LPC/CPC/BQ",2021-08-27
24009,"BQ","BQ safe",2021-08-27
24010,"CPC","CPC safe",2021-08-27
24011,"BQ","BQ safe",2021-08-27
24012,"BQ","BQ likely",2021-08-27
24013,"BQ","Toss up LPC/BQ",2021-08-27
24014,"BQ","BQ likely",2021-08-27
24015,"LPC","LPC safe",2021-08-27
24016,"LPC","LPC likely",2021-08-27
24017,"LPC","LPC safe",2021-08-27
24018,"BQ","BQ leaning",2021-08-27
24019,"CPC","CPC safe",2021-08-27
24020,"BQ","Toss up CPC/BQ",2021-08-27
24021,"LPC","LPC leaning",2021-08-27
24022,"CPC","CPC likely",2021-08-27
24023,"LPC","LPC likely",2021-08-27
24024,"LPC","LPC safe",2021-08-27
24025,"BQ","BQ safe",2021-08-27
24026,"LPC","LPC likely",2021-08-27
24027,"LPC","LPC safe",2021-08-27
24028,"LPC","LPC leaning",2021-08-27
24029,"LPC","LPC safe",2021-08-27
24030,"LPC","LPC safe",2021-08-27
24031,"BQ","BQ safe",2021-08-27
24032,"BQ","BQ leaning",2021-08-27
24033,"BQ","BQ leaning",2021-08-27
24034,"BQ","Toss up LPC/BQ",2021-08-27
24035,"BQ","BQ likely",2021-08-27
24036,"LPC","LPC safe",2021-08-27
24037,"LPC","LPC safe",2021-08-27
24038,"BQ","Toss up LPC/BQ",2021-08-27
24039,"LPC","LPC likely",2021-08-27
24040,"LPC","LPC safe",2021-08-27
24041,"LPC","LPC likely",2021-08-27
24042,"CPC","CPC safe",2021-08-27
24043,"BQ","Toss up LPC/BQ",2021-08-27
24044,"LPC","LPC safe",2021-08-27
24045,"CPC","CPC safe",2021-08-27
24046,"BQ","BQ safe",2021-08-27
24047,"CPC","CPC safe",2021-08-27
24048,"BQ","BQ likely",2021-08-27
24049,"BQ","Toss up LPC/BQ",2021-08-27
24050,"BQ","BQ safe",2021-08-27
24051,"CPC","CPC safe",2021-08-27
24052,"LPC","LPC safe",2021-08-27
24053,"LPC","LPC safe",2021-08-27
24054,"LPC","LPC safe",2021-08-27
24055,"LPC","LPC safe",2021-08-27
24056,"LPC","LPC safe",2021-08-27
24057,"LPC","LPC safe",2021-08-27
24058,"CPC","CPC safe",2021-08-27
24059,"LPC","LPC likely",2021-08-27
24060,"BQ","BQ likely",2021-08-27
24061,"CPC","CPC safe",2021-08-27
24062,"BQ","Toss up LPC/BQ",2021-08-27
24063,"BQ","BQ safe",2021-08-27
24064,"NDP","NDP likely",2021-08-27
24065,"LPC","LPC safe",2021-08-27
24066,"BQ","BQ likely",2021-08-27
24067,"BQ","BQ leaning",2021-08-27
24068,"LPC","LPC safe",2021-08-27
24069,"LPC","LPC safe",2021-08-27
24070,"LPC","LPC likely",2021-08-27
24071,"BQ","BQ leaning",2021-08-27
24072,"BQ","LPC leaning",2021-08-27
24073,"LPC","LPC likely",2021-08-27
24074,"LPC","LPC safe",2021-08-27
24075,"BQ","BQ likely",2021-08-27
24076,"BQ","Toss up LPC/CPC/BQ",2021-08-27
24077,"LPC","LPC safe",2021-08-27
24078,"LPC","LPC safe",2021-08-27
35001,"LPC","LPC safe",2021-08-27
35002,"NDP","NDP safe",2021-08-27
35003,"CPC","CPC leaning",2021-08-27
35004,"CPC","CPC safe",2021-08-27
35005,"CPC","CPC likely",2021-08-27
35006,"LPC","CPC leaning",2021-08-27
35007,"LPC","LPC safe",2021-08-27
35008,"IND","LPC likely",2021-08-27
35009,"LPC","LPC leaning",2021-08-27
35010,"LPC","LPC likely",2021-08-27
35011,"LPC","LPC likely",2021-08-27
35012,"LPC","LPC safe",2021-08-27
35013,"CPC","CPC safe",2021-08-27
35014,"CPC","CPC safe",2021-08-27
35015,"LPC","LPC leaning",2021-08-27
35016,"LPC","Toss up LPC/CPC",2021-08-27
35017,"CPC","CPC safe",2021-08-27
35018,"LPC","Toss up LPC/NDP",2021-08-27
35019,"IND","LPC safe",2021-08-27
35020,"LPC","LPC leaning",2021-08-27
35021,"LPC","LPC likely",2021-08-27
35022,"CPC","CPC safe",2021-08-27
35023,"CPC","CPC safe",2021-08-27
35024,"LPC","LPC likely",2021-08-27
35025,"CPC","CPC safe",2021-08-27
35026,"CPC","CPC leaning",2021-08-27
35027,"LPC","LPC leaning",2021-08-27
35028,"LPC","LPC likely",2021-08-27
35029,"LPC","LPC safe",2021-08-27
35030,"CPC","CPC likely",2021-08-27
35031,"LPC","Toss up LPC/CPC",2021-08-27
35032,"LPC","LPC safe",2021-08-27
35033,"Vacant","CPC safe",2021-08-27
35034,"CPC","CPC safe",2021-08-27
35035,"NDP","NDP safe",2021-08-27
35036,"LPC","NDP leaning",2021-08-27
35037,"NDP","NDP safe",2021-08-27
35038,"LPC","LPC likely",2021-08-27
35039,"IND","CPC likely",2021-08-27
35040,"CPC","CPC safe",2021-08-27
35041,"LPC","Toss up LPC/CPC",2021-08-27
35042,"CPC","Toss up CPC/NDP",2021-08-27
35043,"LPC","CPC leaning",2021-08-27
35044,"LPC","LPC likely",2021-08-27
35045,"LPC","LPC leaning",2021-08-27
35046,"LPC","CPC leaning",2021-08-27
35047,"IND","CPC leaning",2021-08-27
35048,"CPC","CPC safe",2021-08-27
35049,"CPC","CPC safe",2021-08-27
35050,"CPC","CPC safe",2021-08-27
35051,"NDP","NDP safe",2021-08-27
35052,"LPC","LPC leaning",2021-08-27
35053,"LPC","LPC leaning",2021-08-27
35054,"LPC","CPC leaning",2021-08-27
35055,"LPC","LPC likely",2021-08-27
35056,"CPC","CPC safe",2021-08-27
35057,"LPC","LPC leaning",2021-08-27
35058,"LPC","LPC likely",2021-08-27
35059,"LPC","LPC likely",2021-08-27
35060,"LPC","LPC likely",2021-08-27
35061,"LPC","Toss up LPC/CPC",2021-08-27
35062,"LPC","LPC safe",2021-08-27
35063,"LPC","LPC leaning",2021-08-27
35064,"LPC","Toss up LPC/CPC",2021-08-27
35065,"LPC","CPC leaning",2021-08-27
35066,"LPC","Toss up LPC/CPC/NDP",2021-08-27
35067,"CPC","CPC likely",2021-08-27
35068,"CPC","CPC safe",2021-08-27
35069,"LPC","NDP leaning",2021-08-27
35070,"LPC","LPC leaning",2021-08-27
35071,"CPC","CPC likely",2021-08-27
35072,"LPC","Toss up LPC/CPC",2021-08-27
35073,"LPC","Toss up LPC/CPC",2021-08-27
35074,"CPC","CPC leaning",2021-08-27
35075,"LPC","Toss up LPC/NDP",2021-08-27
35076,"LPC","LPC safe",2021-08-27
35077,"LPC","LPC safe",2021-08-27
35078,"LPC","LPC likely",2021-08-27
35079,"LPC","LPC likely",2021-08-27
35080,"CPC","CPC safe",2021-08-27
35081,"LPC","Toss up LPC/NDP",2021-08-27
35082,"CPC","CPC safe",2021-08-27
35083,"CPC","CPC safe",2021-08-27
35084,"LPC","CPC leaning",2021-08-27
35085,"LPC","LPC likely",2021-08-27
35086,"CPC","CPC safe",2021-08-27
35087,"LPC","CPC likely",2021-08-27
35088,"CPC","CPC safe",2021-08-27
35089,"LPC","Toss up LPC/CPC",2021-08-27
35090,"LPC","LPC safe",2021-08-27
35091,"CPC","CPC safe",2021-08-27
35092,"LPC","Toss up LPC/CPC",2021-08-27
35093,"LPC","Toss up LPC/CPC",2021-08-27
35094,"LPC","LPC safe",2021-08-27
35095,"LPC","LPC safe",2021-08-27
35096,"LPC","LPC likely",2021-08-27
35097,"LPC","LPC safe",2021-08-27
35098,"LPC","LPC safe",2021-08-27
35099,"CPC","CPC safe",2021-08-27
35100,"CPC","CPC safe",2021-08-27
35101,"LPC","LPC safe",2021-08-27
35102,"CPC","CPC safe",2021-08-27
35103,"LPC","Toss up LPC/NDP",2021-08-27
35104,"CPC","CPC safe",2021-08-27
35105,"LPC","Toss up LPC/CPC/NDP",2021-08-27
35106,"LPC","LPC leaning",2021-08-27
35107,"NDP","NDP safe",2021-08-27
35108,"LPC","LPC safe",2021-08-27
35109,"LPC","Toss up LPC/NDP",2021-08-27
35110,"LPC","LPC likely",2021-08-27
35111,"LPC","LPC leaning",2021-08-27
35112,"LPC","LPC safe",2021-08-27
35113,"CPC","CPC safe",2021-08-27
35114,"LPC","Toss up LPC/CPC",2021-08-27
35115,"LPC","Toss up LPC/CPC",2021-08-27
35116,"LPC","NDP leaning",2021-08-27
35117,"NDP","NDP likely",2021-08-27
35118,"LPC","Toss up LPC/CPC",2021-08-27
35119,"CPC","CPC safe",2021-08-27
35120,"LPC","LPC safe",2021-08-27
35121,"LPC","LPC safe",2021-08-27
46001,"CPC","CPC safe",2021-08-27
46002,"CPC","Toss up LPC/CPC",2021-08-27
46003,"NDP","NDP likely",2021-08-27
46004,"CPC","CPC safe",2021-08-27
46005,"NDP","NDP likely",2021-08-27
46006,"CPC","CPC likely",2021-08-27
46007,"CPC","CPC safe",2021-08-27
46008,"CPC","CPC safe",2021-08-27
46009,"LPC","LPC likely",2021-08-27
46010,"CPC","CPC safe",2021-08-27
46011,"NDP","NDP likely",2021-08-27
46012,"LPC","LPC likely",2021-08-27
