"riding_code","current_party","current_projection","date"
10001,"LPC","LPC safe",2021-08-25
10002,"LPC","LPC likely",2021-08-25
10003,"LPC","LPC likely",2021-08-25
10004,"LPC","LPC leaning",2021-08-25
10005,"LPC","LPC safe",2021-08-25
10006,"NDP","NDP likely",2021-08-25
10007,"LPC","LPC likely",2021-08-25
11001,"LPC","LPC safe",2021-08-25
11002,"LPC","LPC safe",2021-08-25
11003,"LPC","LPC leaning",2021-08-25
11004,"LPC","LPC likely",2021-08-25
12001,"LPC","Toss up LPC/CPC",2021-08-25
12002,"LPC","LPC leaning",2021-08-25
12003,"LPC","Toss up LPC/CPC",2021-08-25
12004,"LPC","LPC likely",2021-08-25
12005,"LPC","Toss up LPC/NDP",2021-08-25
12006,"LPC","LPC safe",2021-08-25
12007,"LPC","LPC safe",2021-08-25
12008,"LPC","LPC likely",2021-08-25
12009,"LPC","LPC likely",2021-08-25
12010,"LPC","Toss up LPC/CPC",2021-08-25
12011,"CPC","Toss up LPC/CPC",2021-08-25
13001,"LPC","LPC safe",2021-08-25
13002,"LPC","LPC safe",2021-08-25
13003,"LPC","Toss up LPC/CPC",2021-08-25
13004,"CPC","CPC safe",2021-08-25
13005,"LPC","LPC safe",2021-08-25
13006,"LPC","Toss up LPC/CPC",2021-08-25
13007,"LPC","LPC safe",2021-08-25
13008,"CPC","CPC safe",2021-08-25
13009,"LPC","LPC leaning",2021-08-25
13010,"CPC","CPC safe",2021-08-25
24001,"BQ","Toss up LPC/BQ",2021-08-25
24002,"BQ","BQ leaning",2021-08-25
24003,"LPC","LPC safe",2021-08-25
24004,"LPC","LPC safe",2021-08-25
24005,"LPC","LPC likely",2021-08-25
24006,"BQ","BQ leaning",2021-08-25
24007,"CPC","Toss up CPC/PPC",2021-08-25
24008,"BQ","Toss up LPC/CPC/BQ",2021-08-25
24009,"BQ","BQ safe",2021-08-25
24010,"CPC","CPC safe",2021-08-25
24011,"BQ","BQ safe",2021-08-25
24012,"BQ","BQ safe",2021-08-25
24013,"BQ","Toss up LPC/BQ",2021-08-25
24014,"BQ","BQ likely",2021-08-25
24015,"LPC","LPC safe",2021-08-25
24016,"LPC","LPC likely",2021-08-25
24017,"LPC","LPC safe",2021-08-25
24018,"BQ","BQ likely",2021-08-25
24019,"CPC","CPC safe",2021-08-25
24020,"BQ","Toss up CPC/BQ",2021-08-25
24021,"LPC","LPC leaning",2021-08-25
24022,"CPC","CPC likely",2021-08-25
24023,"LPC","LPC likely",2021-08-25
24024,"LPC","LPC safe",2021-08-25
24025,"BQ","BQ safe",2021-08-25
24026,"LPC","LPC likely",2021-08-25
24027,"LPC","LPC safe",2021-08-25
24028,"LPC","LPC leaning",2021-08-25
24029,"LPC","LPC safe",2021-08-25
