"riding_code","current_party","current_projection","date"
10001,"LPC","LPC leaning",2021-09-06
10002,"LPC","Toss up LPC/CPC",2021-09-06
10003,"LPC","LPC leaning",2021-09-06
10004,"LPC","Toss up LPC/CPC/NDP",2021-09-06
10005,"LPC","LPC likely",2021-09-06
10006,"NDP","NDP safe",2021-09-06
10007,"LPC","LPC leaning",2021-09-06
11001,"LPC","LPC likely",2021-09-06
11002,"LPC","LPC safe",2021-09-06
11003,"LPC","Toss up LPC/CPC",2021-09-06
11004,"LPC","LPC leaning",2021-09-06
12001,"LPC","Toss up LPC/CPC",2021-09-06
12002,"LPC","Toss up LPC/CPC",2021-09-06
12003,"LPC","CPC likely",2021-09-06
12004,"LPC","Toss up LPC/NDP",2021-09-06
12005,"LPC","Toss up LPC/NDP",2021-09-06
12006,"LPC","LPC safe",2021-09-06
12007,"LPC","LPC likely",2021-09-06
12008,"LPC","Toss up LPC/NDP",2021-09-06
12009,"LPC","Toss up LPC/CPC",2021-09-06
12010,"LPC","CPC leaning",2021-09-06
12011,"CPC","CPC likely",2021-09-06
13001,"LPC","LPC safe",2021-09-06
13002,"LPC","LPC safe",2021-09-06
13003,"LPC","Toss up LPC/CPC",2021-09-06
13004,"CPC","CPC safe",2021-09-06
13005,"LPC","LPC likely",2021-09-06
13006,"LPC","CPC leaning",2021-09-06
13007,"LPC","LPC likely",2021-09-06
13008,"CPC","CPC safe",2021-09-06
13009,"LPC","Toss up LPC/CPC",2021-09-06
13010,"CPC","CPC safe",2021-09-06
24001,"BQ","Toss up LPC/BQ",2021-09-06
24002,"BQ","BQ leaning",2021-09-06
24003,"LPC","LPC safe",2021-09-06
24004,"LPC","LPC safe",2021-09-06
24005,"LPC","LPC leaning",2021-09-06
24006,"BQ","BQ leaning",2021-09-06
24007,"CPC","CPC leaning",2021-09-06
24008,"BQ","CPC leaning",2021-09-06
24009,"BQ","BQ safe",2021-09-06
24010,"CPC","CPC safe",2021-09-06
24011,"BQ","BQ safe",2021-09-06
24012,"BQ","BQ leaning",2021-09-06
24013,"BQ","Toss up LPC/BQ",2021-09-06
24014,"BQ","BQ likely",2021-09-06
24015,"LPC","LPC safe",2021-09-06
24016,"LPC","LPC likely",2021-09-06
24017,"LPC","LPC safe",2021-09-06
24018,"BQ","BQ likely",2021-09-06
24019,"CPC","CPC safe",2021-09-06
24020,"BQ","CPC likely",2021-09-06
24021,"LPC","LPC leaning",2021-09-06
24022,"CPC","CPC safe",2021-09-06
24023,"LPC","LPC likely",2021-09-06
24024,"LPC","LPC safe",2021-09-06
24025,"BQ","BQ likely",2021-09-06
24026,"LPC","LPC likely",2021-09-06
24027,"LPC","LPC safe",2021-09-06
24028,"LPC","LPC leaning",2021-09-06
24029,"LPC","LPC safe",2021-09-06
24030,"LPC","LPC safe",2021-09-06
24031,"BQ","BQ safe",2021-09-06
24032,"BQ","Toss up CPC/BQ",2021-09-06
24033,"BQ","BQ likely",2021-09-06
24034,"BQ","Toss up LPC/BQ",2021-09-06
24035,"BQ","Toss up CPC/BQ",2021-09-06
24036,"LPC","LPC safe",2021-09-06
24037,"LPC","LPC safe",2021-09-06
24038,"BQ","BQ leaning",2021-09-06
24039,"LPC","LPC leaning",2021-09-06
24040,"LPC","LPC safe",2021-09-06
24041,"LPC","LPC likely",2021-09-06
24042,"CPC","CPC safe",2021-09-06
24043,"BQ","Toss up LPC/BQ",2021-09-06
24044,"LPC","LPC safe",2021-09-06
24045,"CPC","CPC safe",2021-09-06
24046,"BQ","BQ likely",2021-09-06
24047,"CPC","CPC safe",2021-09-06
24048,"BQ","BQ likely",2021-09-06
24049,"BQ","Toss up LPC/BQ",2021-09-06
24050,"BQ","BQ safe",2021-09-06
24051,"CPC","CPC safe",2021-09-06
24052,"LPC","LPC safe",2021-09-06
24053,"LPC","LPC safe",2021-09-06
24054,"LPC","LPC safe",2021-09-06
24055,"LPC","LPC safe",2021-09-06
24056,"LPC","LPC safe",2021-09-06
24057,"LPC","LPC safe",2021-09-06
24058,"CPC","CPC safe",2021-09-06
24059,"LPC","LPC leaning",2021-09-06
24060,"BQ","BQ likely",2021-09-06
24061,"CPC","CPC safe",2021-09-06
24062,"BQ","Toss up LPC/BQ",2021-09-06
24063,"BQ","BQ safe",2021-09-06
24064,"NDP","NDP likely",2021-09-06
24065,"LPC","LPC safe",2021-09-06
24066,"BQ","BQ leaning",2021-09-06
24067,"BQ","BQ leaning",2021-09-06
24068,"LPC","LPC safe",2021-09-06
24069,"LPC","LPC safe",2021-09-06
24070,"LPC","LPC likely",2021-09-06
24071,"BQ","BQ leaning",2021-09-06
24072,"BQ","Toss up LPC/BQ",2021-09-06
24073,"LPC","LPC leaning",2021-09-06
24074,"LPC","LPC safe",2021-09-06
24075,"BQ","BQ likely",2021-09-06
24076,"BQ","CPC leaning",2021-09-06
24077,"LPC","LPC safe",2021-09-06
24078,"LPC","LPC safe",2021-09-06
35001,"LPC","LPC safe",2021-09-06
35002,"NDP","NDP safe",2021-09-06
35003,"CPC","CPC leaning",2021-09-06
35004,"CPC","CPC safe",2021-09-06
35005,"CPC","CPC likely",2021-09-06
35006,"LPC","CPC leaning",2021-09-06
35007,"LPC","LPC safe",2021-09-06
35008,"IND","LPC likely",2021-09-06
35009,"LPC","LPC likely",2021-09-06
35010,"LPC","LPC likely",2021-09-06
35011,"LPC","LPC likely",2021-09-06
35012,"LPC","LPC safe",2021-09-06
35013,"CPC","CPC safe",2021-09-06
35014,"CPC","CPC safe",2021-09-06
35015,"LPC","LPC leaning",2021-09-06
35016,"LPC","Toss up LPC/CPC",2021-09-06
35017,"CPC","CPC safe",2021-09-06
35018,"LPC","Toss up LPC/NDP",2021-09-06
35019,"IND","LPC safe",2021-09-06
35020,"LPC","LPC leaning",2021-09-06
35021,"LPC","LPC likely",2021-09-06
35022,"CPC","CPC safe",2021-09-06
35023,"CPC","CPC safe",2021-09-06
35024,"LPC","LPC likely",2021-09-06
35025,"CPC","CPC safe",2021-09-06
35026,"CPC","CPC leaning",2021-09-06
35027,"LPC","LPC leaning",2021-09-06
35028,"LPC","LPC likely",2021-09-06
35029,"LPC","LPC safe",2021-09-06
35030,"CPC","CPC likely",2021-09-06
35031,"LPC","Toss up LPC/CPC",2021-09-06
35032,"LPC","LPC safe",2021-09-06
35033,"Vacant","CPC safe",2021-09-06
35034,"CPC","CPC safe",2021-09-06
35035,"NDP","NDP safe",2021-09-06
35036,"LPC","Toss up LPC/CPC/NDP",2021-09-06
35037,"NDP","NDP safe",2021-09-06
35038,"LPC","LPC likely",2021-09-06
35039,"IND","CPC leaning",2021-09-06
35040,"CPC","CPC safe",2021-09-06
35041,"LPC","Toss up LPC/CPC",2021-09-06
35042,"CPC","CPC leaning",2021-09-06
