"riding_code","current_party","current_projection","date"
59022,"CPC","Toss up LPC/CPC",2021-08-16
59023,"CPC","LPC leaning",2021-08-16
59024,"CPC","CPC safe",2021-08-16
59025,"CPC","CPC leaning",2021-08-16
59026,"NDP","NDP safe",2021-08-16
59027,"GPC","GPC safe",2021-08-16
59028,"NDP","NDP safe",2021-08-16
59029,"NDP","NDP likely",2021-08-16
59030,"CPC","LPC leaning",2021-08-16
59031,"CPC","Toss up LPC/CPC",2021-08-16
59032,"LPC","LPC safe",2021-08-16
59033,"LPC","LPC safe",2021-08-16
59034,"LPC","LPC safe",2021-08-16
59035,"NDP","NDP safe",2021-08-16
59036,"IND","LPC leaning",2021-08-16
59037,"NDP","NDP safe",2021-08-16
59038,"NDP","NDP safe",2021-08-16
59039,"LPC","LPC safe",2021-08-16
59040,"LPC","LPC safe",2021-08-16
59041,"NDP","NDP likely",2021-08-16
59042,"LPC","LPC safe",2021-08-16
60001,"LPC","Toss up LPC/NDP",2021-08-16
61001,"LPC","LPC leaning",2021-08-16
62001,"NDP","NDP leaning",2021-08-16
