"riding_code","current_party","current_projection","date"
10001,"LPC","LPC safe",2021-08-23
10002,"LPC","LPC likely",2021-08-23
10003,"LPC","LPC likely",2021-08-23
10004,"LPC","Toss up LPC/NDP",2021-08-23
10005,"LPC","LPC safe",2021-08-23
10006,"NDP","NDP safe",2021-08-23
10007,"LPC","LPC likely",2021-08-23
11001,"LPC","LPC safe",2021-08-23
11002,"LPC","LPC safe",2021-08-23
11003,"LPC","LPC leaning",2021-08-23
11004,"LPC","LPC likely",2021-08-23
12001,"LPC","Toss up LPC/CPC",2021-08-23
12002,"LPC","LPC leaning",2021-08-23
12003,"LPC","Toss up LPC/CPC",2021-08-23
12004,"LPC","LPC leaning",2021-08-23
12005,"LPC","Toss up LPC/NDP",2021-08-23
12006,"LPC","LPC safe",2021-08-23
12007,"LPC","LPC safe",2021-08-23
12008,"LPC","LPC leaning",2021-08-23
12009,"LPC","LPC likely",2021-08-23
12010,"LPC","Toss up LPC/CPC/NDP",2021-08-23
12011,"CPC","Toss up LPC/CPC",2021-08-23
13001,"LPC","LPC safe",2021-08-23
13002,"LPC","LPC safe",2021-08-23
13003,"LPC","Toss up LPC/CPC/GPC",2021-08-23
13004,"CPC","CPC safe",2021-08-23
13005,"LPC","LPC safe",2021-08-23
13006,"LPC","Toss up LPC/CPC",2021-08-23
13007,"LPC","LPC safe",2021-08-23
13008,"CPC","CPC safe",2021-08-23
13009,"LPC","LPC leaning",2021-08-23
13010,"CPC","CPC safe",2021-08-23
24001,"BQ","Toss up LPC/BQ",2021-08-23
24002,"BQ","BQ leaning",2021-08-23
24003,"LPC","LPC safe",2021-08-23
24004,"LPC","LPC safe",2021-08-23
24005,"LPC","LPC leaning",2021-08-23
24006,"BQ","BQ leaning",2021-08-23
24007,"CPC","Toss up CPC/PPC",2021-08-23
24008,"BQ","Toss up LPC/CPC/BQ",2021-08-23
24009,"BQ","BQ safe",2021-08-23
24010,"CPC","CPC safe",2021-08-23
24011,"BQ","BQ safe",2021-08-23
24012,"BQ","BQ safe",2021-08-23
24013,"BQ","Toss up LPC/BQ",2021-08-23
24014,"BQ","BQ likely",2021-08-23
24015,"LPC","LPC safe",2021-08-23
24016,"LPC","LPC likely",2021-08-23
24017,"LPC","LPC safe",2021-08-23
24018,"BQ","BQ leaning",2021-08-23
24019,"CPC","CPC safe",2021-08-23
24020,"BQ","Toss up CPC/BQ",2021-08-23
24021,"LPC","LPC leaning",2021-08-23
24022,"CPC","CPC likely",2021-08-23
24023,"LPC","LPC likely",2021-08-23
24024,"LPC","LPC safe",2021-08-23
24025,"BQ","BQ safe",2021-08-23
24026,"LPC","LPC leaning",2021-08-23
24027,"LPC","LPC safe",2021-08-23
24028,"LPC","LPC leaning",2021-08-23
24029,"LPC","LPC safe",2021-08-23
24030,"LPC","LPC safe",2021-08-23
24031,"BQ","BQ safe",2021-08-23
24032,"BQ","BQ likely",2021-08-23
24033,"BQ","BQ leaning",2021-08-23
24034,"BQ","Toss up LPC/BQ",2021-08-23
24035,"BQ","BQ likely",2021-08-23
24036,"LPC","LPC safe",2021-08-23
24037,"LPC","LPC safe",2021-08-23
24038,"BQ","BQ leaning",2021-08-23
24039,"LPC","LPC likely",2021-08-23
24040,"LPC","LPC safe",2021-08-23
24041,"LPC","LPC leaning",2021-08-23
24042,"CPC","CPC safe",2021-08-23
24043,"BQ","Toss up LPC/BQ",2021-08-23
24044,"LPC","LPC safe",2021-08-23
24045,"CPC","CPC safe",2021-08-23
24046,"BQ","BQ safe",2021-08-23
24047,"CPC","CPC safe",2021-08-23
24048,"BQ","BQ safe",2021-08-23
24049,"BQ","Toss up LPC/BQ",2021-08-23
24050,"BQ","BQ safe",2021-08-23
24051,"CPC","CPC likely",2021-08-23
24052,"LPC","LPC safe",2021-08-23
24053,"LPC","LPC safe",2021-08-23
24054,"LPC","LPC safe",2021-08-23
24055,"LPC","LPC safe",2021-08-23
24056,"LPC","LPC safe",2021-08-23
24057,"LPC","LPC safe",2021-08-23
24058,"CPC","CPC safe",2021-08-23
24059,"LPC","LPC leaning",2021-08-23
24060,"BQ","BQ likely",2021-08-23
24061,"CPC","CPC safe",2021-08-23
24062,"BQ","Toss up LPC/BQ",2021-08-23
24063,"BQ","BQ safe",2021-08-23
24064,"NDP","NDP likely",2021-08-23
24065,"LPC","LPC safe",2021-08-23
24066,"BQ","BQ likely",2021-08-23
24067,"BQ","BQ leaning",2021-08-23
24068,"LPC","LPC safe",2021-08-23
24069,"LPC","LPC safe",2021-08-23
24070,"LPC","LPC likely",2021-08-23
24071,"BQ","BQ likely",2021-08-23
24072,"BQ","Toss up LPC/BQ",2021-08-23
24073,"LPC","LPC leaning",2021-08-23
24074,"LPC","LPC safe",2021-08-23
24075,"BQ","BQ likely",2021-08-23
24076,"BQ","Toss up LPC/CPC/BQ",2021-08-23
24077,"LPC","LPC safe",2021-08-23
24078,"LPC","LPC safe",2021-08-23
35001,"LPC","LPC safe",2021-08-23
35002,"NDP","NDP safe",2021-08-23
35003,"CPC","CPC leaning",2021-08-23
35004,"CPC","CPC safe",2021-08-23
35005,"CPC","CPC likely",2021-08-23
35006,"LPC","Toss up LPC/CPC",2021-08-23
35007,"LPC","LPC safe",2021-08-23
35008,"IND","LPC likely",2021-08-23
35009,"LPC","LPC leaning",2021-08-23
35010,"LPC","LPC safe",2021-08-23
35011,"LPC","LPC safe",2021-08-23
35012,"LPC","LPC safe",2021-08-23
35013,"CPC","CPC likely",2021-08-23
35014,"CPC","CPC safe",2021-08-23
35015,"LPC","LPC likely",2021-08-23
35016,"LPC","LPC leaning",2021-08-23
35017,"CPC","CPC safe",2021-08-23
35018,"LPC","NDP leaning",2021-08-23
