"riding_code","current_party","current_projection","date"
10001,"LPC","LPC likely",2021-09-01
10002,"LPC","LPC leaning",2021-09-01
10003,"LPC","LPC likely",2021-09-01
10004,"LPC","LPC leaning",2021-09-01
10005,"LPC","LPC safe",2021-09-01
10006,"NDP","NDP likely",2021-09-01
10007,"LPC","LPC likely",2021-09-01
11001,"LPC","LPC safe",2021-09-01
11002,"LPC","LPC safe",2021-09-01
11003,"LPC","LPC leaning",2021-09-01
11004,"LPC","LPC likely",2021-09-01
12001,"LPC","CPC leaning",2021-09-01
12002,"LPC","LPC leaning",2021-09-01
12003,"LPC","CPC leaning",2021-09-01
12004,"LPC","LPC leaning",2021-09-01
12005,"LPC","Toss up LPC/NDP",2021-09-01
12006,"LPC","LPC safe",2021-09-01
12007,"LPC","LPC likely",2021-09-01
12008,"LPC","LPC leaning",2021-09-01
12009,"LPC","LPC leaning",2021-09-01
12010,"LPC","CPC leaning",2021-09-01
12011,"CPC","CPC leaning",2021-09-01
13001,"LPC","LPC safe",2021-09-01
13002,"LPC","LPC safe",2021-09-01
13003,"LPC","CPC leaning",2021-09-01
13004,"CPC","CPC safe",2021-09-01
13005,"LPC","LPC safe",2021-09-01
13006,"LPC","CPC leaning",2021-09-01
13007,"LPC","LPC safe",2021-09-01
13008,"CPC","CPC safe",2021-09-01
13009,"LPC","Toss up LPC/CPC",2021-09-01
13010,"CPC","CPC safe",2021-09-01
24001,"BQ","Toss up LPC/BQ",2021-09-01
24002,"BQ","BQ leaning",2021-09-01
24003,"LPC","LPC safe",2021-09-01
24004,"LPC","LPC safe",2021-09-01
24005,"LPC","LPC leaning",2021-09-01
24006,"BQ","BQ leaning",2021-09-01
24007,"CPC","CPC leaning",2021-09-01
24008,"BQ","Toss up LPC/CPC/BQ",2021-09-01
24009,"BQ","BQ safe",2021-09-01
24010,"CPC","CPC safe",2021-09-01
24011,"BQ","BQ safe",2021-09-01
24012,"BQ","BQ leaning",2021-09-01
24013,"BQ","Toss up LPC/BQ",2021-09-01
24014,"BQ","BQ likely",2021-09-01
24015,"LPC","LPC safe",2021-09-01
24016,"LPC","LPC likely",2021-09-01
24017,"LPC","LPC safe",2021-09-01
24018,"BQ","BQ likely",2021-09-01
24019,"CPC","CPC safe",2021-09-01
24020,"BQ","CPC leaning",2021-09-01
24021,"LPC","LPC leaning",2021-09-01
24022,"CPC","CPC likely",2021-09-01
24023,"LPC","LPC likely",2021-09-01
24024,"LPC","LPC safe",2021-09-01
24025,"BQ","BQ safe",2021-09-01
24026,"LPC","LPC likely",2021-09-01
24027,"LPC","LPC safe",2021-09-01
24028,"LPC","LPC leaning",2021-09-01
24029,"LPC","LPC safe",2021-09-01
24030,"LPC","LPC safe",2021-09-01
24031,"BQ","BQ safe",2021-09-01
24032,"BQ","BQ leaning",2021-09-01
24033,"BQ","BQ leaning",2021-09-01
24034,"BQ","Toss up LPC/BQ",2021-09-01
24035,"BQ","BQ leaning",2021-09-01
24036,"LPC","LPC safe",2021-09-01
24037,"LPC","LPC safe",2021-09-01
24038,"BQ","BQ leaning",2021-09-01
24039,"LPC","LPC likely",2021-09-01
24040,"LPC","LPC safe",2021-09-01
24041,"LPC","LPC likely",2021-09-01
24042,"CPC","CPC safe",2021-09-01
24043,"BQ","Toss up LPC/BQ",2021-09-01
24044,"LPC","LPC safe",2021-09-01
24045,"CPC","CPC safe",2021-09-01
24046,"BQ","BQ safe",2021-09-01
24047,"CPC","CPC safe",2021-09-01
24048,"BQ","BQ likely",2021-09-01
24049,"BQ","Toss up LPC/BQ",2021-09-01
24050,"BQ","BQ safe",2021-09-01
24051,"CPC","CPC safe",2021-09-01
24052,"LPC","LPC safe",2021-09-01
24053,"LPC","LPC safe",2021-09-01
24054,"LPC","LPC safe",2021-09-01
24055,"LPC","LPC safe",2021-09-01
24056,"LPC","LPC safe",2021-09-01
24057,"LPC","LPC safe",2021-09-01
24058,"CPC","CPC safe",2021-09-01
24059,"LPC","LPC leaning",2021-09-01
24060,"BQ","BQ likely",2021-09-01
24061,"CPC","CPC safe",2021-09-01
24062,"BQ","Toss up LPC/BQ",2021-09-01
24063,"BQ","BQ safe",2021-09-01
24064,"NDP","NDP likely",2021-09-01
24065,"LPC","LPC safe",2021-09-01
24066,"BQ","BQ likely",2021-09-01
