"riding_code","current_party","current_projection","date"
10001,"LPC","LPC likely",2021-09-09
10002,"LPC","Toss up LPC/CPC",2021-09-09
10003,"LPC","LPC leaning",2021-09-09
10004,"LPC","Toss up LPC/CPC/NDP",2021-09-09
10005,"LPC","LPC likely",2021-09-09
10006,"NDP","Toss up LPC/NDP",2021-09-09
10007,"LPC","LPC leaning",2021-09-09
11001,"LPC","LPC likely",2021-09-09
11002,"LPC","LPC safe",2021-09-09
11003,"LPC","Toss up LPC/CPC",2021-09-09
11004,"LPC","LPC leaning",2021-09-09
12001,"LPC","Toss up LPC/CPC",2021-09-09
12002,"LPC","LPC leaning",2021-09-09
12003,"LPC","CPC leaning",2021-09-09
12004,"LPC","LPC leaning",2021-09-09
12005,"LPC","Toss up LPC/NDP",2021-09-09
12006,"LPC","LPC safe",2021-09-09
12007,"LPC","LPC likely",2021-09-09
12008,"LPC","Toss up LPC/NDP",2021-09-09
12009,"LPC","Toss up LPC/CPC",2021-09-09
12010,"LPC","Toss up LPC/CPC",2021-09-09
12011,"CPC","CPC likely",2021-09-09
13001,"LPC","LPC safe",2021-09-09
13002,"LPC","LPC safe",2021-09-09
13003,"LPC","Toss up LPC/CPC",2021-09-09
13004,"CPC","CPC safe",2021-09-09
13005,"LPC","LPC likely",2021-09-09
13006,"LPC","CPC leaning",2021-09-09
13007,"LPC","LPC likely",2021-09-09
13008,"CPC","CPC safe",2021-09-09
13009,"LPC","Toss up LPC/CPC",2021-09-09
13010,"CPC","CPC safe",2021-09-09
24001,"BQ","Toss up LPC/BQ",2021-09-09
24002,"BQ","BQ leaning",2021-09-09
24003,"LPC","LPC safe",2021-09-09
24004,"LPC","LPC safe",2021-09-09
24005,"LPC","LPC leaning",2021-09-09
24006,"BQ","BQ leaning",2021-09-09
24007,"CPC","Toss up CPC/PPC",2021-09-09
24008,"BQ","Toss up LPC/CPC/BQ",2021-09-09
24009,"BQ","BQ safe",2021-09-09
24010,"CPC","CPC safe",2021-09-09
24011,"BQ","BQ safe",2021-09-09
24012,"BQ","BQ leaning",2021-09-09
24013,"BQ","Toss up LPC/BQ",2021-09-09
24014,"BQ","BQ likely",2021-09-09
24015,"LPC","LPC safe",2021-09-09
24016,"LPC","LPC likely",2021-09-09
24017,"LPC","LPC safe",2021-09-09
24018,"BQ","BQ likely",2021-09-09
24019,"CPC","CPC safe",2021-09-09
24020,"BQ","CPC leaning",2021-09-09
24021,"LPC","LPC leaning",2021-09-09
24022,"CPC","CPC likely",2021-09-09
24023,"LPC","LPC likely",2021-09-09
24024,"LPC","LPC safe",2021-09-09
24025,"BQ","BQ likely",2021-09-09
24026,"LPC","LPC leaning",2021-09-09
24027,"LPC","LPC safe",2021-09-09
24028,"LPC","LPC leaning",2021-09-09
24029,"LPC","LPC safe",2021-09-09
24030,"LPC","LPC safe",2021-09-09
24031,"BQ","BQ safe",2021-09-09
24032,"BQ","Toss up CPC/BQ",2021-09-09
24033,"BQ","BQ likely",2021-09-09
24034,"BQ","Toss up LPC/BQ",2021-09-09
24035,"BQ","BQ leaning",2021-09-09
24036,"LPC","LPC safe",2021-09-09
24037,"LPC","LPC safe",2021-09-09
24038,"BQ","BQ leaning",2021-09-09
24039,"LPC","LPC leaning",2021-09-09
24040,"LPC","LPC safe",2021-09-09
24041,"LPC","LPC leaning",2021-09-09
24042,"CPC","CPC safe",2021-09-09
24043,"BQ","Toss up LPC/BQ",2021-09-09
24044,"LPC","LPC safe",2021-09-09
24045,"CPC","CPC safe",2021-09-09
24046,"BQ","BQ safe",2021-09-09
24047,"CPC","CPC safe",2021-09-09
24048,"BQ","BQ safe",2021-09-09
24049,"BQ","Toss up LPC/BQ",2021-09-09
24050,"BQ","BQ safe",2021-09-09
24051,"CPC","CPC safe",2021-09-09
24052,"LPC","LPC safe",2021-09-09
24053,"LPC","LPC safe",2021-09-09
24054,"LPC","LPC safe",2021-09-09
24055,"LPC","LPC safe",2021-09-09
24056,"LPC","LPC safe",2021-09-09
24057,"LPC","LPC safe",2021-09-09
24058,"CPC","CPC safe",2021-09-09
24059,"LPC","LPC leaning",2021-09-09
24060,"BQ","BQ likely",2021-09-09
24061,"CPC","CPC safe",2021-09-09
24062,"BQ","BQ leaning",2021-09-09
24063,"BQ","BQ safe",2021-09-09
24064,"NDP","NDP safe",2021-09-09
24065,"LPC","LPC likely",2021-09-09
24066,"BQ","BQ leaning",2021-09-09
24067,"BQ","BQ leaning",2021-09-09
24068,"LPC","LPC safe",2021-09-09
24069,"LPC","LPC safe",2021-09-09
24070,"LPC","LPC likely",2021-09-09
24071,"BQ","BQ likely",2021-09-09
24072,"BQ","Toss up LPC/BQ",2021-09-09
24073,"LPC","LPC leaning",2021-09-09
24074,"LPC","LPC safe",2021-09-09
24075,"BQ","BQ likely",2021-09-09
24076,"BQ","CPC leaning",2021-09-09
24077,"LPC","LPC safe",2021-09-09
24078,"LPC","LPC safe",2021-09-09
35001,"LPC","LPC safe",2021-09-09
35002,"NDP","NDP safe",2021-09-09
35003,"CPC","CPC leaning",2021-09-09
35004,"CPC","CPC safe",2021-09-09
35005,"CPC","CPC likely",2021-09-09
35006,"LPC","CPC leaning",2021-09-09
35007,"LPC","LPC safe",2021-09-09
35008,"IND","LPC likely",2021-09-09
35009,"LPC","LPC likely",2021-09-09
35010,"LPC","LPC safe",2021-09-09
35011,"LPC","LPC likely",2021-09-09
35012,"LPC","LPC safe",2021-09-09
35013,"CPC","CPC safe",2021-09-09
35014,"CPC","CPC safe",2021-09-09
35015,"LPC","LPC leaning",2021-09-09
35016,"LPC","Toss up LPC/CPC",2021-09-09
35017,"CPC","CPC safe",2021-09-09
35018,"LPC","Toss up LPC/NDP",2021-09-09
35019,"IND","LPC safe",2021-09-09
35020,"LPC","LPC leaning",2021-09-09
35021,"LPC","LPC likely",2021-09-09
35022,"CPC","CPC safe",2021-09-09
35023,"CPC","CPC safe",2021-09-09
35024,"LPC","LPC likely",2021-09-09
35025,"CPC","CPC safe",2021-09-09
35026,"CPC","CPC leaning",2021-09-09
35027,"LPC","LPC likely",2021-09-09
35028,"LPC","LPC likely",2021-09-09
35029,"LPC","LPC safe",2021-09-09
35030,"CPC","CPC likely",2021-09-09
35031,"LPC","Toss up LPC/CPC",2021-09-09
