"riding_code","current_party","current_projection","date"
10001,"LPC","LPC safe",2021-08-22
10002,"LPC","LPC likely",2021-08-22
10003,"LPC","LPC safe",2021-08-22
10004,"LPC","LPC leaning",2021-08-22
10005,"LPC","LPC safe",2021-08-22
10006,"NDP","NDP likely",2021-08-22
10007,"LPC","LPC likely",2021-08-22
11001,"LPC","LPC safe",2021-08-22
11002,"LPC","LPC safe",2021-08-22
11003,"LPC","LPC likely",2021-08-22
11004,"LPC","LPC safe",2021-08-22
12001,"LPC","LPC leaning",2021-08-22
12002,"LPC","LPC likely",2021-08-22
12003,"LPC","LPC leaning",2021-08-22
12004,"LPC","LPC leaning",2021-08-22
12005,"LPC","Toss up LPC/NDP",2021-08-22
12006,"LPC","LPC safe",2021-08-22
12007,"LPC","LPC safe",2021-08-22
12008,"LPC","LPC leaning",2021-08-22
12009,"LPC","LPC safe",2021-08-22
12010,"LPC","Toss up LPC/CPC/NDP",2021-08-22
12011,"CPC","Toss up LPC/CPC",2021-08-22
13001,"LPC","LPC safe",2021-08-22
13002,"LPC","LPC safe",2021-08-22
13003,"LPC","Toss up LPC/CPC/GPC",2021-08-22
13004,"CPC","CPC safe",2021-08-22
13005,"LPC","LPC safe",2021-08-22
13006,"LPC","Toss up LPC/CPC",2021-08-22
13007,"LPC","LPC safe",2021-08-22
13008,"CPC","CPC safe",2021-08-22
13009,"LPC","LPC leaning",2021-08-22
13010,"CPC","CPC safe",2021-08-22
24001,"BQ","Toss up LPC/BQ",2021-08-22
24002,"BQ","BQ leaning",2021-08-22
24003,"LPC","LPC safe",2021-08-22
24004,"LPC","LPC safe",2021-08-22
24005,"LPC","LPC leaning",2021-08-22
24006,"BQ","BQ leaning",2021-08-22
24007,"CPC","CPC leaning",2021-08-22
24008,"BQ","Toss up LPC/CPC/BQ",2021-08-22
24009,"BQ","BQ safe",2021-08-22
24010,"CPC","CPC safe",2021-08-22
24011,"BQ","BQ safe",2021-08-22
24012,"BQ","BQ safe",2021-08-22
24013,"BQ","Toss up LPC/BQ",2021-08-22
24014,"BQ","BQ likely",2021-08-22
24015,"LPC","LPC safe",2021-08-22
24016,"LPC","LPC likely",2021-08-22
24017,"LPC","LPC safe",2021-08-22
24018,"BQ","BQ leaning",2021-08-22
24019,"CPC","CPC safe",2021-08-22
24020,"BQ","Toss up CPC/BQ",2021-08-22
24021,"LPC","LPC leaning",2021-08-22
24022,"CPC","CPC likely",2021-08-22
24023,"LPC","LPC likely",2021-08-22
24024,"LPC","LPC safe",2021-08-22
24025,"BQ","BQ safe",2021-08-22
24026,"LPC","LPC leaning",2021-08-22
24027,"LPC","LPC safe",2021-08-22
24028,"LPC","LPC leaning",2021-08-22
24029,"LPC","LPC safe",2021-08-22
24030,"LPC","LPC safe",2021-08-22
24031,"BQ","BQ safe",2021-08-22
24032,"BQ","BQ likely",2021-08-22
