"riding_code","current_party","current_projection","date"
10001,"LPC","LPC safe",2021-08-17
10002,"LPC","LPC likely",2021-08-17
10003,"LPC","LPC safe",2021-08-17
10004,"LPC","LPC leaning",2021-08-17
10005,"LPC","LPC safe",2021-08-17
10006,"NDP","NDP leaning",2021-08-17
10007,"LPC","LPC safe",2021-08-17
11001,"LPC","LPC safe",2021-08-17
11002,"LPC","LPC safe",2021-08-17
11003,"LPC","LPC likely",2021-08-17
11004,"LPC","LPC safe",2021-08-17
12001,"LPC","LPC likely",2021-08-17
12002,"LPC","LPC likely",2021-08-17
12003,"LPC","LPC leaning",2021-08-17
12004,"LPC","LPC likely",2021-08-17
12005,"LPC","Toss up LPC/NDP",2021-08-17
12006,"LPC","LPC safe",2021-08-17
12007,"LPC","LPC safe",2021-08-17
12008,"LPC","LPC likely",2021-08-17
12009,"LPC","LPC safe",2021-08-17
12010,"LPC","Toss up LPC/CPC/NDP",2021-08-17
12011,"CPC","Toss up LPC/CPC",2021-08-17
13001,"LPC","LPC safe",2021-08-17
13002,"LPC","LPC safe",2021-08-17
13003,"LPC","Toss up LPC/CPC/GPC",2021-08-17
13004,"CPC","CPC leaning",2021-08-17
13005,"LPC","LPC safe",2021-08-17
13006,"LPC","Toss up LPC/CPC",2021-08-17
13007,"LPC","LPC safe",2021-08-17
13008,"CPC","CPC likely",2021-08-17
13009,"LPC","LPC likely",2021-08-17
13010,"CPC","CPC safe",2021-08-17
24001,"BQ","Toss up LPC/BQ",2021-08-17
24002,"BQ","BQ leaning",2021-08-17
24003,"LPC","LPC safe",2021-08-17
24004,"LPC","LPC safe",2021-08-17
24005,"LPC","LPC likely",2021-08-17
24006,"BQ","BQ leaning",2021-08-17
24007,"CPC","CPC leaning",2021-08-17
24008,"BQ","Toss up LPC/CPC/BQ",2021-08-17
24009,"BQ","BQ safe",2021-08-17
24010,"CPC","CPC safe",2021-08-17
24011,"BQ","BQ safe",2021-08-17
24012,"BQ","BQ likely",2021-08-17
24013,"BQ","Toss up LPC/BQ",2021-08-17
24014,"BQ","BQ likely",2021-08-17
24015,"LPC","LPC safe",2021-08-17
24016,"LPC","LPC likely",2021-08-17
24017,"LPC","LPC safe",2021-08-17
24018,"BQ","BQ leaning",2021-08-17
24019,"CPC","CPC safe",2021-08-17
24020,"BQ","Toss up CPC/BQ",2021-08-17
24021,"LPC","LPC leaning",2021-08-17
24022,"CPC","CPC likely",2021-08-17
24023,"LPC","LPC likely",2021-08-17
24024,"LPC","LPC safe",2021-08-17
24025,"BQ","BQ safe",2021-08-17
24026,"LPC","LPC likely",2021-08-17
24027,"LPC","LPC safe",2021-08-17
24028,"LPC","LPC likely",2021-08-17
24029,"LPC","LPC safe",2021-08-17
24030,"LPC","LPC safe",2021-08-17
24031,"BQ","BQ safe",2021-08-17
24032,"BQ","BQ leaning",2021-08-17
24033,"BQ","BQ leaning",2021-08-17
24034,"BQ","Toss up LPC/BQ",2021-08-17
24035,"BQ","BQ likely",2021-08-17
24036,"LPC","LPC safe",2021-08-17
24037,"LPC","LPC safe",2021-08-17
24038,"BQ","BQ leaning",2021-08-17
24039,"LPC","LPC likely",2021-08-17
24040,"LPC","LPC safe",2021-08-17
24041,"LPC","LPC likely",2021-08-17
24042,"CPC","CPC safe",2021-08-17
24043,"BQ","Toss up LPC/BQ",2021-08-17
24044,"LPC","LPC safe",2021-08-17
24045,"CPC","CPC safe",2021-08-17
24046,"BQ","BQ safe",2021-08-17
24047,"CPC","CPC safe",2021-08-17
24048,"BQ","BQ likely",2021-08-17
24049,"BQ","Toss up LPC/BQ",2021-08-17
24050,"BQ","BQ safe",2021-08-17
24051,"CPC","CPC safe",2021-08-17
24052,"LPC","LPC safe",2021-08-17
24053,"LPC","LPC safe",2021-08-17
24054,"LPC","LPC safe",2021-08-17
24055,"LPC","LPC safe",2021-08-17
24056,"LPC","LPC safe",2021-08-17
24057,"LPC","LPC safe",2021-08-17
24058,"CPC","CPC safe",2021-08-17
24059,"LPC","LPC likely",2021-08-17
24060,"BQ","BQ likely",2021-08-17
24061,"CPC","CPC safe",2021-08-17
24062,"BQ","Toss up LPC/BQ",2021-08-17
24063,"BQ","BQ safe",2021-08-17
24064,"NDP","NDP likely",2021-08-17
24065,"LPC","LPC safe",2021-08-17
24066,"BQ","BQ likely",2021-08-17
24067,"BQ","BQ leaning",2021-08-17
24068,"LPC","LPC safe",2021-08-17
24069,"LPC","LPC safe",2021-08-17
24070,"LPC","LPC likely",2021-08-17
24071,"BQ","BQ leaning",2021-08-17
24072,"BQ","LPC leaning",2021-08-17
24073,"LPC","LPC likely",2021-08-17
24074,"LPC","LPC safe",2021-08-17
24075,"BQ","BQ likely",2021-08-17
24076,"BQ","Toss up LPC/CPC/BQ",2021-08-17
24077,"LPC","LPC safe",2021-08-17
24078,"LPC","LPC safe",2021-08-17
35001,"LPC","LPC safe",2021-08-17
35002,"NDP","NDP safe",2021-08-17
35003,"CPC","Toss up LPC/CPC",2021-08-17
35004,"CPC","CPC likely",2021-08-17
35005,"CPC","CPC leaning",2021-08-17
35006,"LPC","Toss up LPC/CPC",2021-08-17
35007,"LPC","LPC safe",2021-08-17
35008,"IND","LPC safe",2021-08-17
35009,"LPC","LPC leaning",2021-08-17
35010,"LPC","LPC safe",2021-08-17
35011,"LPC","LPC safe",2021-08-17
35012,"LPC","LPC safe",2021-08-17
35013,"CPC","CPC likely",2021-08-17
35014,"CPC","CPC likely",2021-08-17
35015,"LPC","LPC likely",2021-08-17
35016,"LPC","LPC likely",2021-08-17
35017,"CPC","CPC likely",2021-08-17
35018,"LPC","NDP leaning",2021-08-17
35019,"IND","LPC safe",2021-08-17
35020,"LPC","LPC likely",2021-08-17
35021,"LPC","LPC safe",2021-08-17
35022,"CPC","CPC likely",2021-08-17
35023,"CPC","CPC likely",2021-08-17
35024,"LPC","LPC safe",2021-08-17
35025,"CPC","CPC safe",2021-08-17
35026,"CPC","Toss up CPC/NDP",2021-08-17
35027,"LPC","LPC likely",2021-08-17
35028,"LPC","LPC safe",2021-08-17
35029,"LPC","LPC safe",2021-08-17
35030,"CPC","CPC leaning",2021-08-17
35031,"LPC","LPC likely",2021-08-17
35032,"LPC","LPC safe",2021-08-17
35033,"Vacant","CPC safe",2021-08-17
35034,"CPC","CPC safe",2021-08-17
35035,"NDP","NDP safe",2021-08-17
35036,"LPC","Toss up LPC/NDP",2021-08-17
35037,"NDP","NDP safe",2021-08-17
35038,"LPC","LPC safe",2021-08-17
35039,"IND","LPC leaning",2021-08-17
35040,"CPC","CPC likely",2021-08-17
35041,"LPC","LPC leaning",2021-08-17
35042,"CPC","Toss up LPC/CPC/NDP",2021-08-17
35043,"LPC","Toss up LPC/CPC",2021-08-17
35044,"LPC","LPC likely",2021-08-17
35045,"LPC","LPC likely",2021-08-17
35046,"LPC","Toss up LPC/CPC",2021-08-17
35047,"IND","LPC leaning",2021-08-17
35048,"CPC","CPC safe",2021-08-17
35049,"CPC","CPC safe",2021-08-17
35050,"CPC","CPC safe",2021-08-17
35051,"NDP","NDP safe",2021-08-17
35052,"LPC","LPC leaning",2021-08-17
35053,"LPC","LPC likely",2021-08-17
35054,"LPC","Toss up LPC/CPC",2021-08-17
35055,"LPC","LPC safe",2021-08-17
35056,"CPC","CPC likely",2021-08-17
35057,"LPC","LPC likely",2021-08-17
35058,"LPC","LPC safe",2021-08-17
35059,"LPC","LPC safe",2021-08-17
35060,"LPC","LPC safe",2021-08-17
35061,"LPC","LPC likely",2021-08-17
35062,"LPC","LPC safe",2021-08-17
35063,"LPC","LPC safe",2021-08-17
35064,"LPC","LPC likely",2021-08-17
35065,"LPC","LPC leaning",2021-08-17
35066,"LPC","NDP leaning",2021-08-17
35067,"CPC","CPC leaning",2021-08-17
35068,"CPC","CPC likely",2021-08-17
35069,"LPC","NDP leaning",2021-08-17
35070,"LPC","LPC likely",2021-08-17
35071,"CPC","Toss up LPC/CPC",2021-08-17
35072,"LPC","LPC leaning",2021-08-17
35073,"LPC","LPC likely",2021-08-17
35074,"CPC","Toss up CPC/NDP",2021-08-17
35075,"LPC","LPC leaning",2021-08-17
35076,"LPC","LPC safe",2021-08-17
35077,"LPC","LPC safe",2021-08-17
35078,"LPC","LPC safe",2021-08-17
35079,"LPC","LPC safe",2021-08-17
35080,"CPC","CPC safe",2021-08-17
35081,"LPC","Toss up LPC/NDP",2021-08-17
35082,"CPC","CPC likely",2021-08-17
35083,"CPC","CPC safe",2021-08-17
35084,"LPC","LPC leaning",2021-08-17
35085,"LPC","LPC safe",2021-08-17
35086,"CPC","CPC safe",2021-08-17
35087,"LPC","Toss up LPC/CPC",2021-08-17
35088,"CPC","CPC likely",2021-08-17
35089,"LPC","LPC leaning",2021-08-17
35090,"LPC","LPC safe",2021-08-17
35091,"CPC","CPC likely",2021-08-17
35092,"LPC","LPC leaning",2021-08-17
35093,"LPC","LPC likely",2021-08-17
35094,"LPC","LPC safe",2021-08-17
35095,"LPC","LPC safe",2021-08-17
35096,"LPC","LPC safe",2021-08-17
35097,"LPC","LPC safe",2021-08-17
35098,"LPC","LPC safe",2021-08-17
35099,"CPC","CPC likely",2021-08-17
35100,"CPC","CPC likely",2021-08-17
35101,"LPC","LPC safe",2021-08-17
35102,"CPC","CPC safe",2021-08-17
35103,"LPC","Toss up LPC/NDP",2021-08-17
35104,"CPC","CPC safe",2021-08-17
35105,"LPC","Toss up LPC/NDP",2021-08-17
35106,"LPC","LPC likely",2021-08-17
35107,"NDP","NDP safe",2021-08-17
35108,"LPC","LPC safe",2021-08-17
35109,"LPC","Toss up LPC/NDP",2021-08-17
35110,"LPC","LPC safe",2021-08-17
35111,"LPC","LPC likely",2021-08-17
35112,"LPC","LPC safe",2021-08-17
35113,"CPC","CPC safe",2021-08-17
35114,"LPC","LPC leaning",2021-08-17
35115,"LPC","LPC likely",2021-08-17
35116,"LPC","NDP leaning",2021-08-17
35117,"NDP","NDP likely",2021-08-17
35118,"LPC","LPC leaning",2021-08-17
35119,"CPC","CPC safe",2021-08-17
35120,"LPC","LPC safe",2021-08-17
35121,"LPC","LPC safe",2021-08-17
46001,"CPC","CPC safe",2021-08-17
46002,"CPC","Toss up LPC/CPC",2021-08-17
46003,"NDP","NDP likely",2021-08-17
46004,"CPC","CPC safe",2021-08-17
46005,"NDP","NDP likely",2021-08-17
46006,"CPC","Toss up LPC/CPC",2021-08-17
46007,"CPC","CPC safe",2021-08-17
46008,"CPC","CPC safe",2021-08-17
46009,"LPC","LPC safe",2021-08-17
46010,"CPC","CPC safe",2021-08-17
46011,"NDP","NDP leaning",2021-08-17
46012,"LPC","LPC safe",2021-08-17
46013,"LPC","LPC safe",2021-08-17
46014,"LPC","LPC safe",2021-08-17
47001,"CPC","CPC safe",2021-08-17
47002,"CPC","CPC safe",2021-08-17
47003,"CPC","Toss up LPC/CPC/NDP",2021-08-17
47004,"CPC","CPC safe",2021-08-17
47005,"CPC","CPC safe",2021-08-17
47006,"CPC","CPC safe",2021-08-17
47007,"CPC","CPC likely",2021-08-17
47008,"CPC","CPC safe",2021-08-17
47009,"CPC","CPC leaning",2021-08-17
47010,"CPC","CPC likely",2021-08-17
47011,"CPC","CPC likely",2021-08-17
47012,"CPC","Toss up CPC/NDP",2021-08-17
47013,"CPC","CPC safe",2021-08-17
47014,"CPC","CPC safe",2021-08-17
48001,"CPC","CPC safe",2021-08-17
48002,"CPC","CPC safe",2021-08-17
