"riding_code","current_party","current_projection","date"
10001,"LPC","LPC likely",2021-08-29
10002,"LPC","LPC leaning",2021-08-29
10003,"LPC","LPC likely",2021-08-29
10004,"LPC","LPC leaning",2021-08-29
10005,"LPC","LPC safe",2021-08-29
10006,"NDP","NDP likely",2021-08-29
10007,"LPC","LPC likely",2021-08-29
11001,"LPC","LPC safe",2021-08-29
11002,"LPC","LPC safe",2021-08-29
11003,"LPC","LPC leaning",2021-08-29
11004,"LPC","LPC likely",2021-08-29
12001,"LPC","Toss up LPC/CPC",2021-08-29
12002,"LPC","LPC leaning",2021-08-29
12003,"LPC","CPC leaning",2021-08-29
12004,"LPC","LPC likely",2021-08-29
12005,"LPC","Toss up LPC/NDP",2021-08-29
12006,"LPC","LPC safe",2021-08-29
12007,"LPC","LPC safe",2021-08-29
12008,"LPC","LPC likely",2021-08-29
12009,"LPC","LPC leaning",2021-08-29
12010,"LPC","CPC leaning",2021-08-29
12011,"CPC","CPC leaning",2021-08-29
13001,"LPC","LPC safe",2021-08-29
13002,"LPC","LPC safe",2021-08-29
13003,"LPC","CPC leaning",2021-08-29
13004,"CPC","CPC safe",2021-08-29
13005,"LPC","LPC safe",2021-08-29
13006,"LPC","CPC leaning",2021-08-29
13007,"LPC","LPC safe",2021-08-29
13008,"CPC","CPC safe",2021-08-29
13009,"LPC","Toss up LPC/CPC",2021-08-29
13010,"CPC","CPC safe",2021-08-29
24001,"BQ","Toss up LPC/BQ",2021-08-29
24002,"BQ","Toss up LPC/BQ",2021-08-29
24003,"LPC","LPC safe",2021-08-29
24004,"LPC","LPC safe",2021-08-29
24005,"LPC","LPC likely",2021-08-29
24006,"BQ","BQ leaning",2021-08-29
24007,"CPC","Toss up CPC/PPC",2021-08-29
24008,"BQ","Toss up LPC/CPC/BQ",2021-08-29
24009,"BQ","BQ safe",2021-08-29
24010,"CPC","CPC safe",2021-08-29
24011,"BQ","BQ likely",2021-08-29
24012,"BQ","BQ leaning",2021-08-29
24013,"BQ","Toss up LPC/BQ",2021-08-29
24014,"BQ","BQ likely",2021-08-29
24015,"LPC","LPC safe",2021-08-29
24016,"LPC","LPC likely",2021-08-29
24017,"LPC","LPC safe",2021-08-29
24018,"BQ","BQ leaning",2021-08-29
24019,"CPC","CPC safe",2021-08-29
24020,"BQ","CPC leaning",2021-08-29
24021,"LPC","LPC likely",2021-08-29
24022,"CPC","CPC likely",2021-08-29
24023,"LPC","LPC likely",2021-08-29
24024,"LPC","LPC safe",2021-08-29
24025,"BQ","BQ safe",2021-08-29
24026,"LPC","LPC likely",2021-08-29
24027,"LPC","LPC safe",2021-08-29
24028,"LPC","LPC likely",2021-08-29
24029,"LPC","LPC safe",2021-08-29
24030,"LPC","LPC safe",2021-08-29
24031,"BQ","BQ safe",2021-08-29
24032,"BQ","BQ leaning",2021-08-29
24033,"BQ","BQ leaning",2021-08-29
24034,"BQ","Toss up LPC/BQ",2021-08-29
24035,"BQ","BQ leaning",2021-08-29
24036,"LPC","LPC safe",2021-08-29
24037,"LPC","LPC safe",2021-08-29
24038,"BQ","Toss up LPC/BQ",2021-08-29
24039,"LPC","LPC likely",2021-08-29
24040,"LPC","LPC safe",2021-08-29
24041,"LPC","LPC likely",2021-08-29
24042,"CPC","CPC safe",2021-08-29
24043,"BQ","Toss up LPC/BQ",2021-08-29
24044,"LPC","LPC safe",2021-08-29
24045,"CPC","CPC safe",2021-08-29
24046,"BQ","BQ safe",2021-08-29
24047,"CPC","CPC safe",2021-08-29
24048,"BQ","BQ likely",2021-08-29
24049,"BQ","Toss up LPC/BQ",2021-08-29
24050,"BQ","BQ safe",2021-08-29
24051,"CPC","CPC safe",2021-08-29
24052,"LPC","LPC safe",2021-08-29
24053,"LPC","LPC safe",2021-08-29
24054,"LPC","LPC safe",2021-08-29
24055,"LPC","LPC safe",2021-08-29
24056,"LPC","LPC safe",2021-08-29
24057,"LPC","LPC safe",2021-08-29
24058,"CPC","CPC safe",2021-08-29
24059,"LPC","LPC likely",2021-08-29
24060,"BQ","BQ likely",2021-08-29
24061,"CPC","CPC safe",2021-08-29
24062,"BQ","Toss up LPC/BQ",2021-08-29
24063,"BQ","BQ safe",2021-08-29
24064,"NDP","NDP likely",2021-08-29
24065,"LPC","LPC safe",2021-08-29
24066,"BQ","BQ likely",2021-08-29
24067,"BQ","Toss up LPC/BQ",2021-08-29
24068,"LPC","LPC safe",2021-08-29
24069,"LPC","LPC safe",2021-08-29
24070,"LPC","LPC likely",2021-08-29
24071,"BQ","BQ leaning",2021-08-29
24072,"BQ","LPC leaning",2021-08-29
24073,"LPC","LPC likely",2021-08-29
24074,"LPC","LPC safe",2021-08-29
24075,"BQ","BQ likely",2021-08-29
24076,"BQ","Toss up LPC/CPC/BQ",2021-08-29
24077,"LPC","LPC safe",2021-08-29
24078,"LPC","LPC safe",2021-08-29
35001,"LPC","LPC safe",2021-08-29
35002,"NDP","NDP safe",2021-08-29
35003,"CPC","CPC likely",2021-08-29
35004,"CPC","CPC safe",2021-08-29
35005,"CPC","CPC safe",2021-08-29
35006,"LPC","CPC leaning",2021-08-29
35007,"LPC","LPC safe",2021-08-29
35008,"IND","LPC likely",2021-08-29
35009,"LPC","LPC leaning",2021-08-29
35010,"LPC","LPC likely",2021-08-29
35011,"LPC","LPC likely",2021-08-29
35012,"LPC","LPC safe",2021-08-29
35013,"CPC","CPC safe",2021-08-29
35014,"CPC","CPC safe",2021-08-29
35015,"LPC","LPC leaning",2021-08-29
35016,"LPC","Toss up LPC/CPC",2021-08-29
35017,"CPC","CPC safe",2021-08-29
35018,"LPC","Toss up LPC/NDP",2021-08-29
35019,"IND","LPC safe",2021-08-29
35020,"LPC","LPC leaning",2021-08-29
35021,"LPC","LPC likely",2021-08-29
35022,"CPC","CPC safe",2021-08-29
35023,"CPC","CPC safe",2021-08-29
35024,"LPC","LPC likely",2021-08-29
35025,"CPC","CPC safe",2021-08-29
35026,"CPC","CPC leaning",2021-08-29
35027,"LPC","LPC leaning",2021-08-29
35028,"LPC","LPC likely",2021-08-29
35029,"LPC","LPC safe",2021-08-29
35030,"CPC","CPC likely",2021-08-29
35031,"LPC","Toss up LPC/CPC",2021-08-29
35032,"LPC","LPC safe",2021-08-29
35033,"Vacant","CPC safe",2021-08-29
35034,"CPC","CPC safe",2021-08-29
35035,"NDP","NDP safe",2021-08-29
35036,"LPC","Toss up LPC/NDP",2021-08-29
35037,"NDP","NDP safe",2021-08-29
35038,"LPC","LPC likely",2021-08-29
35039,"IND","CPC likely",2021-08-29
35040,"CPC","CPC safe",2021-08-29
35041,"LPC","CPC leaning",2021-08-29
35042,"CPC","CPC leaning",2021-08-29
35043,"LPC","CPC likely",2021-08-29
35044,"LPC","LPC likely",2021-08-29
35045,"LPC","LPC leaning",2021-08-29
35046,"LPC","CPC likely",2021-08-29
35047,"IND","CPC leaning",2021-08-29
35048,"CPC","CPC safe",2021-08-29
35049,"CPC","CPC safe",2021-08-29
35050,"CPC","CPC safe",2021-08-29
35051,"NDP","NDP safe",2021-08-29
35052,"LPC","LPC leaning",2021-08-29
